noise_level,seed,strategy,site_id,qwk,accuracy,macro_f1,support
0.25,123,cross_site_blend_50,3,0.6803410924176078,0.4868421052631579,0.4798926462694579,76
0.25,123,cross_site_blend_50,4,0.6485788838697006,0.49333333333333335,0.4768681466145234,75
0.25,123,cross_site_blend_75,0,0.6257843696520251,0.4666666666666667,0.45493703787217926,270
0.25,123,cross_site_blend_75,1,0.7660311958405546,0.45555555555555555,0.43303365152440604,90
0.25,123,cross_site_blend_75,2,0.6901893287435457,0.5222222222222223,0.5138702293874707,90
0.25,123,cross_site_blend_75,3,0.6773749426342358,0.5,0.4906694271911663,76
0.25,123,cross_site_blend_75,4,0.6389514984556308,0.4666666666666667,0.45630008525149196,75
0.25,123,cross_site_full,0,0.6267725467952354,0.45925925925925926,0.4478836151654286,270
0.25,123,cross_site_full,1,0.7322970639032815,0.4444444444444444,0.42388489127619566,90
0.25,123,cross_site_full,2,0.675392670157068,0.4888888888888889,0.4811501061954782,90
0.25,123,cross_site_full,3,0.6779294653014789,0.4868421052631579,0.47652964224492983,76
0.25,123,cross_site_full,4,0.5853967522745596,0.4666666666666667,0.45603158918376313,75
0.25,123,fedavg,0,0.6471976401179941,0.48148148148148145,0.4725090648516626,270
0.25,123,fedavg,1,0.7283950617283951,0.4888888888888889,0.4746465502527794,90
0.25,123,fedavg,2,0.6607460035523978,0.4444444444444444,0.4376659587038269,90
0.25,123,fedavg,3,0.6995687589841878,0.47368421052631576,0.4606631163917037,76
0.25,123,fedavg,4,0.6618729669577128,0.4666666666666667,0.45743145743145736,75
0.25,2025,cross_site_blend_50,0,0.5794447725930301,0.4222222222222222,0.4097091983738388,270
0.25,2025,cross_site_blend_50,1,0.36820925553319916,0.37777777777777777,0.3662783088397901,90
0.25,2025,cross_site_blend_50,2,0.6260869565217391,0.4888888888888889,0.4710470085470085,90
0.25,2025,cross_site_blend_50,3,0.668141592920354,0.4868421052631579,0.48400352733686064,76
0.25,2025,cross_site_blend_50,4,0.754682141915062,0.48,0.4367033429533429,75
0.25,2025,cross_site_blend_75,0,0.5750441436138904,0.4148148148148148,0.40106598075691835,270
0.25,2025,cross_site_blend_75,1,0.38150289017341044,0.3888888888888889,0.38239164439722256,90
0.25,2025,cross_site_blend_75,2,0.6377816291161178,0.4888888888888889,0.47265857811834827,90
0.25,2025,cross_site_blend_75,3,0.6651785714285714,0.5,0.4948077955324332,76
