noise_level,seed,strategy,delta_qwk_vs_fedavg,fedavg_qwk,strategy_qwk,delta_accuracy_vs_fedavg,fedavg_accuracy,strategy_accuracy,delta_macro_f1_vs_fedavg,fedavg_macro_f1,strategy_macro_f1
0.35,2025,cross_site_blend_75,-0.01826402028136087,0.6010257092493432,0.5827616889679823,-0.014975041597337757,0.43594009983361065,0.4209650582362729,-0.01722432024041559,0.42700481749005575,0.40978049724964016
0.35,2025,cross_site_full,-0.008931538307963116,0.6010257092493432,0.5920941709413801,-0.008319467554076532,0.43594009983361065,0.4276206322795341,-0.01422029764594418,0.42700481749005575,0.4127845198441116
0.45,7,cross_site_blend_50,-0.019519373278317098,0.6956210937700169,0.6761017204916998,-0.03660565723793674,0.5141430948419301,0.47753743760399336,-0.03947147870272183,0.49914530955395603,0.4596738308512342
0.45,7,cross_site_blend_75,-0.02728789412751942,0.6956210937700169,0.6683331996424975,-0.03993344425956735,0.5141430948419301,0.47420965058236275,-0.044270775209419855,0.49914530955395603,0.4548745343445362
0.45,7,cross_site_full,-0.015132274861234807,0.6956210937700169,0.6804888189087821,-0.03494176372712143,0.5141430948419301,0.47920133111480867,-0.038090629922348906,0.49914530955395603,0.4610546796316071
0.45,42,cross_site_blend_50,0.0005147259572531038,0.6454952241523764,0.6460099501096295,0.0049916805324459745,0.46755407653910147,0.47254575707154745,0.014202549262051944,0.4456940810317533,0.45989663029380523
0.45,42,cross_site_blend_75,0.0048470786371048735,0.6454952241523764,0.6503423027894812,0.018302828618968425,0.46755407653910147,0.4858569051580699,0.028222162775145387,0.4456940810317533,0.4739162438068987
0.45,42,cross_site_full,0.0027327839073365556,0.6454952241523764,0.6482280080597129,0.009983361064891894,0.46755407653910147,0.47753743760399336,0.016438164752215878,0.4456940810317533,0.46213224578396916
0.45,99,cross_site_blend_50,-0.004366048076643092,0.5565021790836455,0.5521361310070024,-0.008319467554076532,0.40266222961730447,0.39434276206322794,-0.014777161702567876,0.39270998445518696,0.3779328227526191
0.45,99,cross_site_blend_75,0.021266549846471916,0.5565021790836455,0.5777687289301174,-0.0033277870216306127,0.40266222961730447,0.39933444259567386,-0.007910954697026462,0.39270998445518696,0.3847990297581605
0.45,99,cross_site_full,0.011659592460983803,0.5565021790836455,0.5681617715446293,0.0049916805324459745,0.40266222961730447,0.40765391014975044,-0.0011405967385634264,0.39270998445518696,0.39156938771662353
0.45,123,cross_site_blend_50,-0.024322644530852533,0.6484728965396551,0.6241502520088026,0.006655574043261225,0.4425956738768719,0.4492512479201331,0.006655567461678724,0.42683908727914427,0.433494654740823
0.45,123,cross_site_blend_75,-0.010915329255369977,0.6484728965396551,0.6375575672842851,0.006655574043261225,0.4425956738768719,0.4492512479201331,0.006260180661354753,0.42683908727914427,0.433099267940499
0.45,123,cross_site_full,-0.01719524997875088,0.6484728965396551,0.6312776465609042,-0.004991680532445919,0.4425956738768719,0.43760399334442596,-0.004259908361403553,0.42683908727914427,0.4225791789177407
0.45,2025,cross_site_blend_50,0.0014718368553797712,0.5810392446868854,0.5825110815422652,-0.0033277870216306127,0.4292845257903494,0.4259567387687188,-0.0017123253697888252,0.4212994255169262,0.41958710014713735
0.45,2025,cross_site_blend_75,-0.002522295934112795,0.5810392446868854,0.5785169487527726,-0.016638935108153063,0.4292845257903494,0.41264559068219636,-0.018714048653701187,0.4212994255169262,0.402585376863225
0.45,2025,cross_site_full,0.020330340732769847,0.5810392446868854,0.6013695854196552,-0.006655574043261225,0.4292845257903494,0.4226289517470882,-0.00946309465195777,0.4212994255169262,0.4118363308649684
