n,training_count,pair_count,paired_fraction_of_total,paired_fraction_of_training,overlap,nonlinear,method,task_auc_mean,task_auc_std,universal_biological_score_mean,universal_biological_score_std,factor_separation_score_mean,factor_separation_score_std,task_auc_from_acq_mean,task_auc_from_acq_std,chance_normalized_environment_leakage_mean,chance_normalized_environment_leakage_std,paired_biological_invariance_error_mean,paired_biological_invariance_error_std,counterfactual_transport_error_mean,counterfactual_transport_error_std,biology_cca_from_bio_mean,biology_cca_from_bio_std,biology_procrustes_error_mean,biology_procrustes_error_std,n_seeds,recovery_margin,recovered,observational_log10,pair_count_log10_plus_one
500,300,10,0.02,0.03333333333333333,0.9,False,hybrid_curriculum,0.9702025453273098,0.016917138084887002,0.3718261867761612,0.062233909693068065,0.6509407937526703,0.15222414104902482,0.7974111692986373,0.1071315806256464,0.18666666666666668,0.08379870059984357,,,,,0.47957771247272935,0.08132104497544913,0.8611872792243958,0.20419024260458477,5,-0.1281738132238388,False,2.6989700043360187,1.0413926851582251
500,300,10,0.02,0.03333333333333333,0.9,False,operator,0.9652328248787437,0.017494652740337284,0.31645648926496506,0.07188521516623896,0.6498553410172463,0.21466751575682358,0.7638810663975735,0.1206259222660986,0.17866666666666667,0.10004443457228836,,,,,0.5211416039482459,0.049456643141583004,0.9154719471931457,0.21867380087265822,5,-0.18354351073503494,False,2.6989700043360187,1.0413926851582251
500,300,10,0.02,0.03333333333333333,0.9,False,pair_consistency,0.9687574914796837,0.016675386880747902,0.3859322890639305,0.06425035188678037,0.7404932141304016,0.1817702266230373,0.7555538806827078,0.12447029811179795,0.11466666666666665,0.08568676806965135,,,,,0.5521024028068637,0.08592778283215151,0.9104113459587098,0.2653111687165692,5,-0.11406771093606949,False,2.6989700043360187,1.0413926851582251
500,300,10,0.02,0.03333333333333333,0.9,True,factorized,0.9558759930638923,0.02938373051246082,0.19256695806980134,0.09585120257579043,0.5383044809103013,0.221534887306492,0.7395249216208223,0.08252932279424659,0.2586666666666667,0.12132600710482484,,,,,0.4686879307848722,0.062399053830762774,1.353913950920105,0.32679355028486906,5,-0.30743304193019866,False,2.6989700043360187,1.0413926851582251
500,300,10,0.02,0.03333333333333333,0.9,True,hybrid_curriculum,0.9663581699346405,0.018484242234912837,0.34753655046224596,0.1154393229709489,0.6160647228360177,0.23023185784603725,0.8024635808332995,0.09608415114915468,0.15199999999999997,0.0916999939415968,,,,,0.5373283907081368,0.04029745031150009,0.8407340764999389,0.15200819196889134,5,-0.15246344953775404,False,2.6989700043360187,1.0413926851582251
500,300,10,0.02,0.03333333333333333,0.9,True,operator,0.9629181761206898,0.02024716673676901,0.33299630880355835,0.06948934568971239,0.6643809422850608,0.2345479547409449,0.7605951086134938,0.08065160577306657,0.152,0.08722894524691266,,,,,0.49440673248856,0.052194959438656374,0.8978642582893371,0.18839741399482238,5,-0.16700369119644165,False,2.6989700043360187,1.0413926851582251
500,300,10,0.02,0.03333333333333333,0.9,True,pair_consistency,0.9647558846533784,0.021111026841197835,0.34643193930387495,0.06994678905175288,0.6848127081990242,0.18749832844893258,0.7531674725155763,0.09059257224495078,0.13866666666666666,0.08874432689223324,,,,,0.4921074718061623,0.046684569811208616,0.8913345217704773,0.2053999271328182,5,-0.15356806069612505,False,2.6989700043360187,1.0413926851582251
500,300,10,0.02,0.03333333333333333,0.95,False,factorized,0.9373677786476909,0.031461167751813665,0.133879417181015,0.10650333421810268,0.4626451790332794,0.22559087099231973,0.7156988434794208,0.11152112805982047,0.2986666666666667,0.07217263254786328,,,,,0.5122238206457641,0.023982090784036483,1.5500357151031494,0.3991535198816479,5,-0.36612058281898496,False,2.6989700043360187,1.0413926851582251
500,300,10,0.02,0.03333333333333333,0.95,False,hybrid_curriculum,0.9488861150643831,0.02240919906358681,0.2899624973535538,0.04963206810252553,0.5318295031785965,0.1648384313770845,0.7994552319091888,0.09151382780542555,0.19466666666666665,0.0629638344166272,,,,,0.47311910824013814,0.03585153588861319,0.9003461241722107,0.16885139627492932,5,-0.21003750264644622,False,2.6989700043360187,1.0413926851582251
500,300,10,0.02,0.03333333333333333,0.95,False,operator,0.9459312742294985,0.022946107498687966,0.24456363320350646,0.0900778658562854,0.5291844606399536,0.24693650138855502,0.7495840025672105,0.12688499688294716,0.16799999999999998,0.0751886516259823,,,,,0.4947618536295395,0.051499094682832425,0.9350797653198242,0.22034991892979874,5,-0.2554363667964935,False,2.6989700043360187,1.0413926851582251
