fold,seed,condition,mean_paired_cosine,worst_paired_cosine,mean_top1_retrieval,worst_top1_retrieval,scanner_probe_accuracy,effective_rank,biological_acquisition_cross_covariance,feature_variance_nonzero_fraction,n_test_samples,n_test_regions
2,914,shuffled_region_pairs,0.5372002571821213,0.42741647362709045,0.7255172413793104,0.503448275862069,0.30482758620689654,53.88805895559671,0.08350852131843567,1.0,9,145
2,915,shuffled_region_pairs,0.5257694244384765,0.4263094663619995,0.7155172413793104,0.5551724137931034,0.2786206896551724,54.046294473039715,0.08141419291496277,1.0,9,145
3,911,shuffled_region_pairs,0.5355722904205322,0.41766661405563354,0.7326923076923076,0.4967948717948718,0.3243589743589744,54.13304572730429,0.08549708873033524,1.0,9,156
3,912,shuffled_region_pairs,0.5176227003335953,0.4066114127635956,0.7099358974358974,0.532051282051282,0.2923076923076923,55.98832274132035,0.08985085785388947,1.0,9,156
3,913,shuffled_region_pairs,0.5142998397350311,0.39737433195114136,0.7019230769230769,0.45833333333333337,0.3294871794871795,55.647107189250946,0.08660126477479935,1.0,9,156
3,914,shuffled_region_pairs,0.5229543924331665,0.3978548049926758,0.6935897435897436,0.47115384615384615,0.33333333333333337,54.71736145686167,0.09078776836395264,1.0,9,156
3,915,shuffled_region_pairs,0.5336528420448303,0.4215162694454193,0.7307692307692308,0.5352564102564102,0.3282051282051282,53.84011902779632,0.08847285062074661,1.0,9,156
4,911,shuffled_region_pairs,0.5316043794155121,0.39476338028907776,0.7181286549707603,0.5409356725146199,0.30526315789473685,55.98928385282712,0.0796186551451683,1.0,9,171
4,912,shuffled_region_pairs,0.522314041852951,0.40760356187820435,0.706140350877193,0.5175438596491229,0.29824561403508765,57.50030415415298,0.07697082310914993,1.0,9,171
4,913,shuffled_region_pairs,0.5379579901695252,0.4036698341369629,0.737719298245614,0.5,0.3157894736842105,56.63087530395019,0.07933750748634338,1.0,9,171
4,914,shuffled_region_pairs,0.5352816224098206,0.40054044127464294,0.7052631578947368,0.4444444444444444,0.30409356725146197,55.02526662025727,0.08275631070137024,1.0,9,171
4,915,shuffled_region_pairs,0.543497183918953,0.4090317487716675,0.721345029239766,0.49707602339181284,0.30409356725146197,55.7354313177414,0.07828810811042786,1.0,9,171
0,911,shuffled_sample_pairs,0.6228419065475463,0.5501906871795654,0.7256944444444444,0.6006944444444444,0.3819444444444445,40.46214054108241,0.1132291778922081,1.0,8,144
0,912,shuffled_sample_pairs,0.6309531092643738,0.5472684502601624,0.7388888888888889,0.5902777777777778,0.375,40.19177629871504,0.12438763678073883,1.0,8,144
0,913,shuffled_sample_pairs,0.6225790917873383,0.5486481785774231,0.7222222222222221,0.6006944444444444,0.4041666666666667,40.961931956058656,0.10788825899362564,1.0,8,144
0,914,shuffled_sample_pairs,0.6044297993183136,0.5345193147659302,0.7243055555555556,0.5659722222222222,0.37916666666666665,43.64144077572026,0.0971393808722496,1.0,8,144
0,915,shuffled_sample_pairs,0.5891464471817016,0.5056477189064026,0.6961805555555556,0.5243055555555556,0.37083333333333335,45.98202901600495,0.10555847734212875,1.0,8,144
1,911,shuffled_sample_pairs,0.5975701153278351,0.5022466778755188,0.7576719576719577,0.6190476190476191,0.41587301587301584,46.233789669547065,0.08846670389175415,1.0,9,189
1,912,shuffled_sample_pairs,0.5761060029268265,0.47031736373901367,0.7402116402116402,0.5423280423280423,0.41375661375661377,48.28343526948852,0.08470767736434937,1.0,9,189
1,913,shuffled_sample_pairs,0.5855454742908478,0.4834689199924469,0.744973544973545,0.5396825396825398,0.42328042328042326,46.366210787361425,0.0839901715517044,1.0,9,189
1,914,shuffled_sample_pairs,0.5995520532131196,0.48407506942749023,0.7486772486772486,0.5449735449735449,0.47407407407407404,43.94588472539529,0.09585463255643845,1.0,9,189
1,915,shuffled_sample_pairs,0.5809012085199357,0.4621172249317169,0.7335978835978836,0.5529100529100529,0.4306878306878307,47.024597436078395,0.08614133298397064,1.0,9,189
2,911,shuffled_sample_pairs,0.5975759088993072,0.5288965702056885,0.7062068965517241,0.5758620689655172,0.3972413793103448,42.17967004968351,0.09355639666318893,1.0,9,145
2,912,shuffled_sample_pairs,0.6045279920101165,0.5377581119537354,0.749655172413793,0.6413793103448275,0.40551724137931033,43.06288361485595,0.09683199226856232,1.0,9,145
2,913,shuffled_sample_pairs,0.5924706816673279,0.5285177230834961,0.7337931034482759,0.6344827586206896,0.39724137931034487,44.30025142888647,0.0945504754781723,1.0,9,145
2,914,shuffled_sample_pairs,0.5998974859714508,0.5401380062103271,0.7255172413793104,0.6137931034482759,0.4206896551724138,43.66834581064163,0.09564279019832611,1.0,9,145
