representation,fold,seed,n_fit,n_test,feature_dim,rep_family,condition,branch,scanner_probe_accuracy,category_probe_accuracy,category_probe_macro_f1,purity_k1,purity_k5,purity_k10,same_sample_retrieval_k1,effective_rank,category_scanner_ratio,runtime_seconds,k
shuffled_sample_acquisition,1,911,3080,945,64,pair_integrity,shuffled_sample_pairs,acquisition,0.8010582010582011,0.3681282887584258,0.36672050994909616,0.725925925925926,0.5877248677248679,0.511957671957672,0.6962962962962963,20.567048828718203,0.45955248728759884,1.2549250000010943,
shuffled_sample_acquisition,1,912,3080,945,64,pair_integrity,shuffled_sample_pairs,acquisition,0.8074074074074072,0.3634320504457491,0.31022835642684626,0.7396825396825397,0.5875132275132275,0.5065608465608465,0.7111111111111111,20.792317521917823,0.4501222643135426,1.774735500002862,
shuffled_sample_acquisition,1,913,3080,945,64,pair_integrity,shuffled_sample_pairs,acquisition,0.8275132275132275,0.3494416177429876,0.3022446316566656,0.6867724867724868,0.5767195767195767,0.5037037037037037,0.692063492063492,20.68037731965325,0.42227919279683285,1.2635617999912938,
shuffled_sample_acquisition,1,914,3080,945,64,pair_integrity,shuffled_sample_pairs,acquisition,0.7968253968253969,0.36186475320721895,0.3063466408159246,0.725925925925926,0.5898412698412699,0.5125925925925926,0.6941798941798942,20.997964144382543,0.4541330568138405,1.3306407000054605,
shuffled_sample_acquisition,1,915,3080,945,64,pair_integrity,shuffled_sample_pairs,acquisition,0.8264550264550264,0.39811437268971517,0.3331773034608683,0.7174603174603175,0.577989417989418,0.49756613756613755,0.7015873015873015,20.014826269220855,0.48171329345938646,1.2544487999984995,
true_pair_biological,2,911,3300,725,256,pair_integrity,true_pairs,biological,0.34896551724137936,0.47021885521885526,0.3901427910012284,0.96,0.8937931034482759,0.7313103448275863,0.9986206896551724,75.64546067077116,1.3474650989473123,0.5407218000036664,
true_pair_biological,2,912,3300,725,256,pair_integrity,true_pairs,biological,0.36275862068965514,0.44754985754985754,0.44936616597238416,0.9586206896551724,0.8852413793103447,0.714344827586207,0.9986206896551724,74.965359859761,1.233740101610824,0.9736105000047246,
true_pair_biological,2,913,3300,725,256,pair_integrity,true_pairs,biological,0.3503448275862069,0.42907018907018907,0.36085131283764305,0.9572413793103448,0.8827586206896552,0.7176551724137931,1.0,76.3837981049966,1.2247082168342012,0.8762032000086037,
true_pair_biological,2,914,3300,725,256,pair_integrity,true_pairs,biological,0.3503448275862069,0.4839238539238539,0.4155750319093422,0.9544827586206897,0.889103448275862,0.7264827586206897,0.9986206896551724,75.07396412594323,1.3812787169086382,0.5673360000073444,
true_pair_biological,2,915,3300,725,256,pair_integrity,true_pairs,biological,0.3820689655172414,0.4788267288267288,0.40761237002603296,0.9558620689655173,0.8874482758620691,0.7313103448275863,0.9986206896551724,75.77849755662808,1.2532468534273586,0.8699202999996487,
true_pair_acquisition,2,911,3300,725,64,pair_integrity,true_pairs,acquisition,0.8551724137931036,0.451932141932142,0.4009039110648603,0.47586206896551725,0.3884137931034483,0.35337931034482756,0.416551724137931,14.52477591405612,0.5284690369367788,1.8514563999924576,
true_pair_acquisition,2,912,3300,725,64,pair_integrity,true_pairs,acquisition,0.8744827586206897,0.42761849261849266,0.3697633337558497,0.4827586206896552,0.3875862068965517,0.34689655172413797,0.41517241379310343,14.172835409820843,0.4889959103287179,1.3831448000128148,
true_pair_acquisition,2,913,3300,725,64,pair_integrity,true_pairs,acquisition,0.8482758620689654,0.3935949235949236,0.2981874904823372,0.47448275862068967,0.38565517241379316,0.34731034482758616,0.4206896551724138,14.640038907828796,0.46399401562003195,1.4581249999901047,
true_pair_acquisition,2,914,3300,725,64,pair_integrity,true_pairs,acquisition,0.8537931034482759,0.4608987308987309,0.39787556537864405,0.4703448275862069,0.3889655172413793,0.356551724137931,0.40827586206896554,14.525007935330432,0.5398248463676574,1.2552495999989333,
true_pair_acquisition,2,915,3300,725,64,pair_integrity,true_pairs,acquisition,0.8593103448275862,0.43141802641802646,0.38930645026601635,0.4910344827586207,0.391448275862069,0.35062068965517246,0.4068965517241379,13.862932872499712,0.5020514753660822,1.303792999999132,
shuffled_sample_biological,2,911,3300,725,256,pair_integrity,shuffled_sample_pairs,biological,0.3972413793103448,0.32115773115773116,0.261339178039314,0.8924137931034483,0.7108965517241379,0.5670344827586207,0.9172413793103448,42.17967004968351,0.8084699829491496,1.4079343999910634,
shuffled_sample_biological,2,912,3300,725,256,pair_integrity,shuffled_sample_pairs,biological,0.40827586206896554,0.40202538202538207,0.36560592872687847,0.8841379310344828,0.7040000000000001,0.5635862068965517,0.9172413793103448,43.06288361485595,0.9846905471905473,1.175622900002054,
shuffled_sample_biological,2,913,3300,725,256,pair_integrity,shuffled_sample_pairs,biological,0.39724137931034487,0.3783229733229733,0.3577152528023176,0.8744827586206897,0.720551724137931,0.5904827586206897,0.896551724137931,44.30025142888647,0.9523755404831793,0.9034610999951838,
shuffled_sample_biological,2,914,3300,725,256,pair_integrity,shuffled_sample_pairs,biological,0.4206896551724138,0.4188992488992489,0.3883592483903133,0.8910344827586207,0.7125517241379309,0.573655172413793,0.9103448275862069,43.66834581064163,0.9957441162359195,1.1764699000050314,
shuffled_sample_biological,2,915,3300,725,256,pair_integrity,shuffled_sample_pairs,biological,0.3737931034482759,0.4207342657342657,0.39497393603734837,0.8910344827586207,0.7064827586206898,0.5718620689655173,0.9144827586206896,46.780563454758415,1.1255806002115964,1.5387656000093557,
shuffled_sample_acquisition,2,911,3300,725,64,pair_integrity,shuffled_sample_pairs,acquisition,0.8303448275862069,0.4400867650867651,0.4049111844046136,0.6413793103448275,0.5244137931034484,0.4686896551724138,0.6565517241379311,22.128273112678084,0.5300048250629646,1.4228383000008762,
shuffled_sample_acquisition,2,912,3300,725,64,pair_integrity,shuffled_sample_pairs,acquisition,0.8179310344827586,0.5175705775705776,0.3945025606632207,0.6482758620689655,0.5296551724137931,0.4696551724137931,0.6662068965517242,21.392017644005257,0.6327802170972492,1.5262576000095578,
shuffled_sample_acquisition,2,913,3300,725,64,pair_integrity,shuffled_sample_pairs,acquisition,0.8068965517241379,0.4443693343693344,0.34351312800587214,0.6606896551724138,0.5263448275862069,0.4732413793103449,0.6620689655172414,21.849993425546753,0.550714132338064,1.6184428999986267,
shuffled_sample_acquisition,2,914,3300,725,64,pair_integrity,shuffled_sample_pairs,acquisition,0.8234482758620689,0.47153198653198647,0.37486306922068113,0.6510344827586206,0.5346206896551724,0.47641379310344834,0.6606896551724138,22.45675228976283,0.5726309719190791,1.3474981999897864,
shuffled_sample_acquisition,2,915,3300,725,64,pair_integrity,shuffled_sample_pairs,acquisition,0.8193103448275861,0.42096995596995596,0.39499523603772574,0.6496551724137931,0.5271724137931034,0.47117241379310343,0.6524137931034483,21.115831747476175,0.5138101314448116,1.281419899998582,
true_pair_biological,3,911,3245,780,256,pair_integrity,true_pairs,biological,0.3551282051282051,0.4400823175541144,0.3657953077756942,0.9910256410256411,0.9166666666666666,0.7774358974358976,0.9974358974358974,73.57670000964714,1.2392209663978675,0.5329532000032486,
true_pair_biological,3,912,3245,780,256,pair_integrity,true_pairs,biological,0.34102564102564104,0.4598212313844869,0.4072674781106385,0.9935897435897436,0.9215384615384615,0.7920512820512822,0.9948717948717949,73.54467519374462,1.3483479717289464,0.7254315000027418,
true_pair_biological,3,913,3245,780,256,pair_integrity,true_pairs,biological,0.3679487179487179,0.4081643920886467,0.35254756617842586,0.9961538461538462,0.9184615384615386,0.7851282051282052,0.9987179487179487,72.63020196131882,1.1092969541085171,0.8021831000078237,
true_pair_biological,3,914,3245,780,256,pair_integrity,true_pairs,biological,0.3564102564102564,0.40647249615218994,0.3136743188716024,0.9948717948717949,0.9099999999999999,0.7702564102564102,0.9961538461538462,72.77073903999974,1.1404623992759286,1.0039932999934535,
true_pair_biological,3,915,3245,780,256,pair_integrity,true_pairs,biological,0.32948717948717954,0.408338183066225,0.3042242245660935,0.9935897435897436,0.9141025641025641,0.7729487179487181,0.9961538461538462,70.79632622194133,1.2393143299286205,0.5310170000011567,
true_pair_acquisition,3,911,3245,780,64,pair_integrity,true_pairs,acquisition,0.8705128205128204,0.3448363454971029,0.23419689691377257,0.5871794871794872,0.47512820512820514,0.4334615384615384,0.48333333333333334,12.539886092102453,0.39613011706589146,1.2044081999920309,
