representation,held_out_scanner,seed,n_train_patches,n_test_patches,n_train_samples,n_test_samples,sample_overlap,train_has_heldout_scanner
linear_projection_k2,gt450,915,2332,222,30,14,0,False
linear_projection_k4,gt450,911,2136,271,30,14,0,False
linear_projection_k4,gt450,912,2332,222,30,14,0,False
linear_projection_k4,gt450,913,2120,275,30,14,0,False
linear_projection_k4,gt450,914,1856,341,30,14,0,False
linear_projection_k4,gt450,915,2332,222,30,14,0,False
linear_projection_k8,gt450,911,2136,271,30,14,0,False
linear_projection_k8,gt450,912,2332,222,30,14,0,False
linear_projection_k8,gt450,913,2120,275,30,14,0,False
linear_projection_k8,gt450,914,1856,341,30,14,0,False
linear_projection_k8,gt450,915,2332,222,30,14,0,False
linear_projection_k16,gt450,911,2136,271,30,14,0,False
linear_projection_k16,gt450,912,2332,222,30,14,0,False
linear_projection_k16,gt450,913,2120,275,30,14,0,False
linear_projection_k16,gt450,914,1856,341,30,14,0,False
linear_projection_k16,gt450,915,2332,222,30,14,0,False
linear_projection_k32,gt450,911,2136,271,30,14,0,False
linear_projection_k32,gt450,912,2332,222,30,14,0,False
linear_projection_k32,gt450,913,2120,275,30,14,0,False
linear_projection_k32,gt450,914,1856,341,30,14,0,False
linear_projection_k32,gt450,915,2332,222,30,14,0,False
pca_removal_k1,nz20,911,2136,271,30,14,0,False
pca_removal_k1,nz20,912,2332,222,30,14,0,False
pca_removal_k1,nz20,913,2120,275,30,14,0,False
pca_removal_k1,nz20,914,1856,341,30,14,0,False
pca_removal_k1,nz20,915,2332,222,30,14,0,False
pca_removal_k2,nz20,911,2136,271,30,14,0,False
pca_removal_k2,nz20,912,2332,222,30,14,0,False
pca_removal_k2,nz20,913,2120,275,30,14,0,False
pca_removal_k2,nz20,914,1856,341,30,14,0,False
pca_removal_k2,nz20,915,2332,222,30,14,0,False
pca_removal_k4,nz20,911,2136,271,30,14,0,False
pca_removal_k4,nz20,912,2332,222,30,14,0,False
pca_removal_k4,nz20,913,2120,275,30,14,0,False
pca_removal_k4,nz20,914,1856,341,30,14,0,False
pca_removal_k4,nz20,915,2332,222,30,14,0,False
pca_removal_k8,nz20,911,2136,271,30,14,0,False
pca_removal_k8,nz20,912,2332,222,30,14,0,False
pca_removal_k8,nz20,913,2120,275,30,14,0,False
pca_removal_k8,nz20,914,1856,341,30,14,0,False
pca_removal_k8,nz20,915,2332,222,30,14,0,False
pca_removal_k16,nz20,911,2136,271,30,14,0,False
pca_removal_k16,nz20,912,2332,222,30,14,0,False
pca_removal_k16,nz20,913,2120,275,30,14,0,False
pca_removal_k16,nz20,914,1856,341,30,14,0,False
pca_removal_k16,nz20,915,2332,222,30,14,0,False
pca_removal_k32,nz20,911,2136,271,30,14,0,False
