contrast_type,fold,neural_seed,k_value,paired_category_contrast,paired_scanner_contrast,paired_acquisition_category_leakage,paired_bio_scanner_leakage,biological_scanner_balanced_accuracy,acquisition_scanner_balanced_accuracy,biological_category_balanced_accuracy,acquisition_category_balanced_accuracy,oldstyle_category_contrast,oldstyle_scanner_contrast,oldstyle_removed_category_leakage,oldstyle_keep_scanner_leakage,keep_scanner_balanced_accuracy,removed_scanner_balanced_accuracy,keep_category_balanced_accuracy,removed_category_balanced_accuracy,oldstyle_keep_scanner_minus_true_pair_bio,oldstyle_keep_category_minus_true_pair_bio,oldstyle_removed_scanner_minus_true_pair_acquisition,oldstyle_removed_category_minus_true_pair_acquisition
true_pair_branch,3,914.0,,0.016055749544871212,0.5294871794871796,0.3937865328779913,0.358974358974359,0.358974358974359,0.8884615384615385,0.4098422824228625,0.3937865328779913,,,,,,,,,,,,
shuffled_sample_branch,3,914.0,,-0.13132595960758736,0.446153846153846,0.42866908407198495,0.39230769230769236,0.39230769230769236,0.8384615384615384,0.2973431244643976,0.42866908407198495,,,,,,,,,,,,
true_pair_branch,3,915.0,,0.0038340069665613874,0.5538461538461539,0.40309517414271645,0.32948717948717954,0.32948717948717954,0.8833333333333334,0.40692918110927784,0.40309517414271645,,,,,,,,,,,,
shuffled_sample_branch,3,915.0,,-0.08234493645251101,0.4602564102564102,0.4353601806019211,0.3961538461538462,0.3961538461538462,0.8564102564102564,0.3530152441494101,0.4353601806019211,,,,,,,,,,,,
oldstyle_decomposition,3,,1.0,,,,,,,,,0.2536626568435594,-0.5,0.15675274676080478,0.808974358974359,0.808974358974359,0.308974358974359,0.4104154036043641,0.15675274676080478,,,,
oldstyle_decomposition,3,,2.0,,,,,,,,,0.18473784795501147,-0.23205128205128195,0.2264485246153256,0.6371794871794871,0.6371794871794871,0.4051282051282052,0.4111863725703371,0.2264485246153256,,,,
oldstyle_decomposition,3,,3.0,,,,,,,,,0.1396427398965674,-0.01666666666666672,0.27433409436834094,0.4897435897435898,0.4897435897435898,0.47307692307692306,0.41397683426490833,0.27433409436834094,,,,
oldstyle_decomposition,3,,4.0,,,,,,,,,0.13585667600373486,0.3166666666666667,0.2804032632840046,0.2,0.2,0.5166666666666667,0.41625993928773947,0.2804032632840046,,,,
paired_vs_oldstyle_k4,3,911.0,4.0,,,,,,,,,,,,,,,,,-0.15641025641025635,-0.024318138214189766,-0.36282051282051286,-0.07279287057288675
paired_vs_oldstyle_k4,3,912.0,4.0,,,,,,,,,,,,,,,,,-0.14102564102564102,-0.04127818707391634,-0.3769230769230769,-0.10329892687668674
paired_vs_oldstyle_k4,3,913.0,4.0,,,,,,,,,,,,,,,,,-0.1679487179487179,0.007638926194526607,-0.3589743589743588,-0.08552668099203153
paired_vs_oldstyle_k4,3,914.0,4.0,,,,,,,,,,,,,,,,,-0.15897435897435896,0.006417656864876942,-0.3717948717948718,-0.1133832695939867
paired_vs_oldstyle_k4,3,915.0,4.0,,,,,,,,,,,,,,,,,-0.12948717948717953,0.009330758178461629,-0.3666666666666667,-0.12269191085871184
true_pair_branch,4,911.0,,0.04105716090458439,0.5134502923976608,0.32965334357962267,0.3742690058479532,0.3742690058479532,0.887719298245614,0.37071050448420706,0.32965334357962267,,,,,,,,,,,,
shuffled_sample_branch,4,911.0,,-0.05714916792562119,0.3964912280701753,0.3528486954901772,0.4444444444444445,0.4444444444444445,0.8409356725146198,0.29569952756455603,0.3528486954901772,,,,,,,,,,,,
true_pair_branch,4,912.0,,0.009733206419067386,0.5567251461988304,0.33441775169631394,0.34269005847953216,0.34269005847953216,0.8994152046783626,0.3441509581153813,0.33441775169631394,,,,,,,,,,,,
shuffled_sample_branch,4,912.0,,-0.07037458920239043,0.4561403508771929,0.3615858577919829,0.4152046783625731,0.4152046783625731,0.871345029239766,0.29121126858959245,0.3615858577919829,,,,,,,,,,,,
true_pair_branch,4,913.0,,0.06643124652513976,0.4830409356725146,0.28772433988571894,0.4140350877192982,0.4140350877192982,0.8970760233918128,0.3541555864108587,0.28772433988571894,,,,,,,,,,,,
shuffled_sample_branch,4,913.0,,-0.04413426132113096,0.4245614035087718,0.34823328937908066,0.4385964912280701,0.4385964912280701,0.8631578947368419,0.3040990280579497,0.34823328937908066,,,,,,,,,,,,
true_pair_branch,4,914.0,,-0.000539397273671971,0.5216374269005847,0.3654330483584105,0.3695906432748538,0.3695906432748538,0.8912280701754385,0.36489365108473854,0.3654330483584105,,,,,,,,,,,,
