representation,representation_family,branch,fold,neural_seed,k_value,same_category_purity_k1,same_category_purity_k5,same_category_purity_k10,same_sample_top1_retrieval
shuffled_sample_biological,neural_factorization,biological,4,911.0,,0.9146198830409357,0.7532163742690059,0.5997660818713451,0.9614035087719298
shuffled_sample_biological,neural_factorization,biological,4,912.0,,0.9146198830409357,0.7415204678362574,0.5741520467836257,0.9707602339181286
shuffled_sample_biological,neural_factorization,biological,4,913.0,,0.9309941520467836,0.7635087719298246,0.6016374269005847,0.9695906432748538
shuffled_sample_biological,neural_factorization,biological,4,914.0,,0.9111111111111111,0.7651461988304094,0.6148538011695907,0.9567251461988304
shuffled_sample_biological,neural_factorization,biological,4,915.0,,0.9111111111111111,0.7560233918128655,0.6085380116959064,0.9567251461988304
true_pair_acquisition,neural_factorization,acquisition,0,911.0,,0.5597222222222222,0.47888888888888886,0.42777777777777776,0.7805555555555556
true_pair_acquisition,neural_factorization,acquisition,0,912.0,,0.5708333333333333,0.4911111111111111,0.4338888888888889,0.7583333333333333
true_pair_acquisition,neural_factorization,acquisition,0,913.0,,0.5486111111111112,0.48138888888888887,0.43277777777777776,0.7819444444444444
true_pair_acquisition,neural_factorization,acquisition,0,914.0,,0.5736111111111111,0.4955555555555556,0.43777777777777777,0.7805555555555556
true_pair_acquisition,neural_factorization,acquisition,0,915.0,,0.55,0.4930555555555556,0.43,0.7736111111111111
true_pair_acquisition,neural_factorization,acquisition,1,911.0,,0.5767195767195767,0.466031746031746,0.40793650793650793,0.6296296296296297
true_pair_acquisition,neural_factorization,acquisition,1,912.0,,0.5756613756613757,0.4577777777777778,0.4017989417989418,0.6433862433862434
true_pair_acquisition,neural_factorization,acquisition,1,913.0,,0.5936507936507937,0.4641269841269841,0.4017989417989418,0.6529100529100529
true_pair_acquisition,neural_factorization,acquisition,1,914.0,,0.5894179894179894,0.46455026455026455,0.40084656084656084,0.6349206349206349
true_pair_acquisition,neural_factorization,acquisition,1,915.0,,0.5830687830687831,0.46010582010582013,0.40190476190476193,0.6317460317460317
true_pair_acquisition,neural_factorization,acquisition,2,911.0,,0.543448275862069,0.4460689655172414,0.37917241379310346,0.6372413793103449
true_pair_acquisition,neural_factorization,acquisition,2,912.0,,0.5517241379310345,0.4209655172413793,0.36882758620689654,0.616551724137931
true_pair_acquisition,neural_factorization,acquisition,2,913.0,,0.5558620689655173,0.43917241379310346,0.37089655172413794,0.6427586206896552
true_pair_acquisition,neural_factorization,acquisition,2,914.0,,0.5241379310344828,0.4361379310344828,0.3798620689655172,0.6262068965517241
true_pair_acquisition,neural_factorization,acquisition,2,915.0,,0.543448275862069,0.42482758620689653,0.36386206896551726,0.6124137931034482
true_pair_acquisition,neural_factorization,acquisition,3,911.0,,0.6128205128205129,0.5330769230769231,0.49564102564102563,0.6525641025641026
true_pair_acquisition,neural_factorization,acquisition,3,912.0,,0.6256410256410256,0.5417948717948718,0.5051282051282051,0.6730769230769231
true_pair_acquisition,neural_factorization,acquisition,3,913.0,,0.6384615384615384,0.5628205128205128,0.5207692307692308,0.6948717948717948
true_pair_acquisition,neural_factorization,acquisition,3,914.0,,0.6474358974358975,0.5551282051282052,0.5160256410256411,0.6807692307692308
true_pair_acquisition,neural_factorization,acquisition,3,915.0,,0.6076923076923076,0.5423076923076923,0.5143589743589744,0.6564102564102564
true_pair_acquisition,neural_factorization,acquisition,4,911.0,,0.5415204678362573,0.42175438596491227,0.3760233918128655,0.6713450292397661
true_pair_acquisition,neural_factorization,acquisition,4,912.0,,0.5660818713450292,0.4264327485380117,0.37415204678362574,0.6760233918128655
true_pair_acquisition,neural_factorization,acquisition,4,913.0,,0.5473684210526316,0.4177777777777778,0.35883040935672517,0.6783625730994152
