alternative,min_val_gain,max_id_val_cost,switched_mean,switched_std,id_val_accuracy_chosen_minus_fedavg_mean,id_val_accuracy_chosen_minus_fedavg_std,val_accuracy_chosen_minus_fedavg_mean,val_accuracy_chosen_minus_fedavg_std,test_accuracy_chosen_minus_fedavg_mean,test_accuracy_chosen_minus_fedavg_std,test_macro_f1_chosen_minus_fedavg_mean,test_macro_f1_chosen_minus_fedavg_std,test_auc_chosen_minus_fedavg_mean,test_auc_chosen_minus_fedavg_std,robust_positive
equal_client,-0.03,0.02,0.2,0.447213595499958,-0.003266666666666684,0.0073044887264993525,-0.004200000000000004,0.009391485505499125,0.02080000000000002,0.04651021393199567,0.0215356997144023,0.04815528850442635,0.0011863999999999874,0.0026528710485057227,False
equal_client,-0.03,0.025,0.2,0.447213595499958,-0.003266666666666684,0.0073044887264993525,-0.004200000000000004,0.009391485505499125,0.02080000000000002,0.04651021393199567,0.0215356997144023,0.04815528850442635,0.0011863999999999874,0.0026528710485057227,False
equal_client,-0.03,0.03,0.2,0.447213595499958,-0.003266666666666684,0.0073044887264993525,-0.004200000000000004,0.009391485505499125,0.02080000000000002,0.04651021393199567,0.0215356997144023,0.04815528850442635,0.0011863999999999874,0.0026528710485057227,False
equal_client,-0.03,0.04,0.2,0.447213595499958,-0.003266666666666684,0.0073044887264993525,-0.004200000000000004,0.009391485505499125,0.02080000000000002,0.04651021393199567,0.0215356997144023,0.04815528850442635,0.0011863999999999874,0.0026528710485057227,False
equal_client,-0.03,0.05,0.2,0.447213595499958,-0.003266666666666684,0.0073044887264993525,-0.004200000000000004,0.009391485505499125,0.02080000000000002,0.04651021393199567,0.0215356997144023,0.04815528850442635,0.0011863999999999874,0.0026528710485057227,False
equal_client,-0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
equal_client,-0.02,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
equal_client,-0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
equal_client,-0.02,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
equal_client,-0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
equal_client,-0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
equal_client,-0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
equal_client,-0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
equal_client,-0.01,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
equal_client,-0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
equal_client,-0.01,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
equal_client,-0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
equal_client,-0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
equal_client,-0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
equal_client,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
equal_client,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
equal_client,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
equal_client,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
equal_client,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
equal_client,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
equal_client,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
