dataset_backbone,fold,seed,condition,scanner_probe_delta,paired_cosine_delta,top1_retrieval_delta,effective_rank_delta,bio_scanner_tissue_ratio,acq_scanner_tissue_ratio
SCORPION_DINOv2,4,704,shuffled_sample_pairs,0.4755555555555555,-0.2821382127702236,-0.5861111111111112,-25.240419923491274,0.37478705281090285,2.1473087818696883
SCORPION_DINOv2,4,705,true_pairs,0.41333333333333316,-0.5909808516502381,-0.911111111111111,-44.92693449666504,0.41356309060589225,9.358490566037734
SCORPION_DINOv2,4,705,shuffled_region_pairs,0.428888888888889,-0.3528608784079551,-0.5938888888888889,-27.626122805621954,0.4008958566629339,2.0753138075313813
SCORPION_DINOv2,4,705,shuffled_sample_pairs,0.47555555555555545,-0.25512887146323926,-0.5499999999999998,-23.82572172459583,0.36281690140845074,1.9108280254777066
canineSCC_DINOv2,0,911,shuffled_region_pairs,0.5333333333333334,-0.0039605796337127686,-0.2503472222222223,-29.696683052572133,0.4207599629286376,1.700765483646486
canineSCC_DINOv2,0,911,shuffled_sample_pairs,0.41805555555555546,-0.05379609465599067,-0.21597222222222223,-18.340608862750216,0.5263157894736843,1.569482288828338
canineSCC_DINOv2,0,911,true_pairs,0.48194444444444434,-0.2903172582387924,-0.6722222222222222,-51.44939397112197,0.3971309928274821,3.422159887798037
canineSCC_DINOv2,0,912,shuffled_region_pairs,0.5388888888888889,0.004476580023765608,-0.2472222222222223,-31.97259730424537,0.3860640301318267,1.679886685552408
canineSCC_DINOv2,0,912,shuffled_sample_pairs,0.4291666666666668,-0.046095871925353915,-0.25972222222222224,-19.441013689021286,0.5075187969924811,1.6782608695652177
canineSCC_DINOv2,0,912,true_pairs,0.4736111111111112,-0.28943865895271303,-0.6958333333333336,-52.32436601693305,0.38461538461538447,3.6790123456790136
canineSCC_DINOv2,0,913,shuffled_region_pairs,0.5361111111111112,0.009168848395347595,-0.24375000000000008,-29.835863221179842,0.419764705882353,1.7118763176387919
canineSCC_DINOv2,0,913,shuffled_sample_pairs,0.376388888888889,-0.031549435853958085,-0.24444444444444435,-19.941121636071443,0.5596153846153847,1.6337209302325584
canineSCC_DINOv2,0,913,true_pairs,0.4972222222222223,-0.2803073465824127,-0.6989583333333333,-51.77472798830252,0.36336336336336333,3.6866359447004613
canineSCC_DINOv2,0,914,shuffled_region_pairs,0.5555555555555556,0.013986924290656955,-0.2739583333333334,-30.15920083446751,0.3959670027497708,1.7688442211055275
canineSCC_DINOv2,0,914,shuffled_sample_pairs,0.42638888888888893,-0.00012421607971191406,-0.234375,-22.091484801784983,0.523489932885906,1.6442239546420976
canineSCC_DINOv2,0,914,true_pairs,0.4694444444444446,-0.24691186845302582,-0.6704861111111112,-54.2805590675162,0.4027149321266968,3.3564493758668528
canineSCC_DINOv2,0,915,shuffled_region_pairs,0.55,0.005292147397994995,-0.2621527777777778,-30.622394671097705,0.36227824463118585,1.701514059120404
canineSCC_DINOv2,0,915,shuffled_sample_pairs,0.4194444444444444,-0.023320397734642118,-0.2152777777777778,-24.771646466966377,0.5326683291770573,1.643321299638989
canineSCC_DINOv2,0,915,true_pairs,0.4597222222222222,-0.28586345016956327,-0.7038194444444443,-53.269792555980416,0.3923908989183141,3.6330275229357802
canineSCC_DINOv2,1,911,shuffled_region_pairs,0.5216931216931215,-0.02326028048992157,-0.303968253968254,-35.246360786743736,0.43562928236566895,1.958128078817734
canineSCC_DINOv2,1,911,shuffled_sample_pairs,0.3947089947089948,-0.07321196198463442,-0.3269841269841271,-25.66674084082886,0.5488826815642457,1.8820638820638824
canineSCC_DINOv2,1,911,true_pairs,0.4899470899470899,-0.3373862594366074,-0.7825396825396824,-63.44575590530568,0.38137969713965225,5.282894736842104
canineSCC_DINOv2,1,912,shuffled_region_pairs,0.5174603174603174,-0.04102163016796112,-0.31798941798941804,-34.805305099896884,0.44005641748942176,1.9608323133414933
canineSCC_DINOv2,1,912,shuffled_sample_pairs,0.4105820105820104,-0.06523321568965912,-0.3007936507936507,-27.491117747570698,0.5589706933523946,1.8759783263094514
canineSCC_DINOv2,1,912,true_pairs,0.5100529100529102,-0.35032321214675904,-0.7817460317460316,-64.38444324482725,0.3703703703703704,5.333333333333334
canineSCC_DINOv2,1,913,shuffled_region_pairs,0.5174603174603174,-0.03178065717220302,-0.3216931216931218,-35.33225782603215,0.4299719887955181,1.9414634146341463
canineSCC_DINOv2,1,913,shuffled_sample_pairs,0.4116402116402116,-0.06293919384479518,-0.317989417989418,-25.685833467708175,0.5681818181818181,1.9553903345724906
canineSCC_DINOv2,1,913,true_pairs,0.4793650793650793,-0.3254750341176986,-0.7722222222222221,-62.3304005593327,0.39932697700504766,5.001545595054096
canineSCC_DINOv2,1,914,shuffled_region_pairs,0.5185185185185185,0.004377579689025857,-0.2973544973544975,-35.35277428761086,0.4578399712952995,1.9458809380637405
canineSCC_DINOv2,1,914,shuffled_sample_pairs,0.33015873015873004,-0.05360007584095006,-0.31507936507936496,-22.947920581012745,0.6332155477031802,1.8547895057962167
canineSCC_DINOv2,1,914,true_pairs,0.4666666666666666,-0.30500468313694,-0.7756613756613756,-63.0806642345204,0.40100530578050825,4.9306625577812015
canineSCC_DINOv2,1,915,shuffled_region_pairs,0.5587301587301587,-0.04950714409351353,-0.321957671957672,-34.26951388269934,0.3813589469939523,1.997490589711418
canineSCC_DINOv2,1,915,shuffled_sample_pairs,0.4105820105820106,-0.07965984642505652,-0.31693121693121695,-27.00977116685754,0.5870897944464479,2.0190476190476194
canineSCC_DINOv2,1,915,true_pairs,0.47301587301587306,-0.34428917318582536,-0.7828042328042326,-62.96721247559465,0.395394552092109,5.308970099667774
canineSCC_DINOv2,2,911,shuffled_region_pairs,0.6013793103448276,0.008668124675750732,-0.28379310344827585,-34.021201403584044,0.34962406015037595,1.9065134099616858
