dataset_backbone,fold,seed,condition,bio_scanner_probe_accuracy,bio_mean_paired_cosine,bio_worst_paired_cosine,bio_mean_top1_retrieval,bio_worst_top1_retrieval,bio_effective_rank,acq_scanner_probe_accuracy,acq_mean_paired_cosine,acq_worst_paired_cosine,acq_mean_top1_retrieval,acq_worst_top1_retrieval,acq_effective_rank,biological_acquisition_cross_covariance
canineSCC_DINOv2,3,911,true_pairs,0.35641025641025637,0.7176808416843414,0.6387495398521423,0.9490384615384615,0.891025641025641,73.57670000964714,0.8794871794871796,0.3791747897863388,0.1923140287399292,0.14743589743589744,0.057692307692307696,12.539886092102453,0.09044331312179565
canineSCC_DINOv2,3,912,shuffled_region_pairs,0.2923076923076923,0.5176227003335953,0.4066114127635956,0.7099358974358974,0.532051282051282,55.98832274132035,0.8935897435897436,0.5181790262460708,0.32382142543792725,0.40897435897435896,0.23717948717948717,18.98069324431252,0.08985085785388947
canineSCC_DINOv2,3,912,shuffled_sample_pairs,0.37820512820512825,0.5593491613864898,0.46973398327827454,0.698076923076923,0.5641025641025641,46.7047375431766,0.864102564102564,0.5174176096916199,0.3090779483318329,0.4025641025641026,0.24038461538461536,19.311909335187625,0.10014220327138901
canineSCC_DINOv2,3,912,true_pairs,0.34102564102564104,0.7207734823226929,0.6480762362480164,0.9567307692307694,0.9294871794871795,73.54467519374462,0.8935897435897436,0.3878307849168777,0.17079466581344604,0.1544871794871795,0.07051282051282051,12.63835515266268,0.09016913175582886
canineSCC_DINOv2,3,913,shuffled_region_pairs,0.3294871794871795,0.514299875497818,0.39737433195114136,0.7019230769230769,0.45833333333333337,55.647107189250946,0.8846153846153847,0.5265990704298019,0.30423569679260254,0.4,0.22756410256410256,19.11765601202747,0.08660126477479935
canineSCC_DINOv2,3,913,shuffled_sample_pairs,0.37051282051282053,0.5382549047470093,0.44265374541282654,0.7032051282051281,0.5256410256410257,49.97409371643702,0.8461538461538461,0.5221834123134613,0.2724796533584595,0.40576923076923077,0.25961538461538464,19.07425844571753,0.09211059659719467
canineSCC_DINOv2,3,913,true_pairs,0.3679487179487179,0.7197317838668823,0.6462544202804565,0.9500000000000002,0.8974358974358975,72.63020196131882,0.8756410256410255,0.39713234901428224,0.15216588973999023,0.16762820512820514,0.08653846153846154,12.812353130579426,0.09292952716350555
canineSCC_DINOv2,3,914,shuffled_region_pairs,0.33333333333333337,0.522954398393631,0.39785483479499817,0.6935897435897436,0.47115384615384615,54.71736145686167,0.8910256410256411,0.5319678068161011,0.37381041049957275,0.38333333333333336,0.21794871794871795,19.39060509482187,0.09078776836395264
canineSCC_DINOv2,3,914,shuffled_sample_pairs,0.39230769230769236,0.5530934303998947,0.4333682954311371,0.6855769230769231,0.5032051282051282,47.85233691535645,0.8384615384615384,0.5290844976902008,0.34809166193008423,0.39198717948717954,0.23397435897435898,18.793472239577795,0.09236026555299759
canineSCC_DINOv2,3,914,true_pairs,0.358974358974359,0.7234208464622498,0.6481188535690308,0.9532051282051283,0.907051282051282,72.77073903999974,0.8884615384615385,0.4078459501266479,0.20639453828334808,0.15064102564102563,0.060897435897435896,12.454777239229475,0.0913194939494133
canineSCC_DINOv2,3,915,shuffled_region_pairs,0.3282051282051282,0.5336528420448303,0.4215162694454193,0.7307692307692308,0.5352564102564102,53.84011902779632,0.8794871794871796,0.5160813421010971,0.37492233514785767,0.3868589743589744,0.24358974358974358,18.5719754367061,0.08847285062074661
canineSCC_DINOv2,3,915,shuffled_sample_pairs,0.3961538461538462,0.571859672665596,0.45297887921333313,0.6961538461538462,0.5032051282051282,45.46076783191836,0.8564102564102564,0.5220992684364318,0.3807762861251831,0.4092948717948718,0.2564102564102564,19.116680623972822,0.10372024029493332
canineSCC_DINOv2,3,915,true_pairs,0.32948717948717954,0.7264208674430848,0.6565747261047363,0.9509615384615383,0.9038461538461539,70.79632622194133,0.8833333333333334,0.37555073350667956,0.18982426822185516,0.14038461538461539,0.0673076923076923,11.883958284887228,0.09156554192304611
canineSCC_DINOv2,4,911,shuffled_region_pairs,0.30526315789473685,0.5316043794155121,0.39476338028907776,0.7181286549707603,0.5409356725146199,55.98928385282712,0.894736842105263,0.5191226869821548,0.3736410439014435,0.4380116959064327,0.26023391812865493,20.581774604755648,0.0796186551451683
canineSCC_DINOv2,4,911,shuffled_sample_pairs,0.4444444444444445,0.5733689993619919,0.4865279197692871,0.6970760233918128,0.5116959064327485,47.031672448545926,0.8409356725146198,0.5189003318548202,0.37249046564102173,0.42339181286549704,0.26023391812865493,20.233969340983155,0.09445414692163467
canineSCC_DINOv2,4,911,true_pairs,0.3742690058479532,0.7279714107513428,0.6559247970581055,0.9192982456140351,0.8567251461988303,77.22782319202574,0.887719298245614,0.3785745486617088,0.19479571282863617,0.15964912280701754,0.09941520467836257,13.466921452539315,0.08250975608825684
canineSCC_DINOv2,4,912,shuffled_region_pairs,0.29824561403508765,0.5223140478134155,0.40760356187820435,0.706140350877193,0.5175438596491229,57.50030415415298,0.9005847953216375,0.49929705262184143,0.3246980905532837,0.4169590643274853,0.23976608187134502,19.785103839055772,0.07697082310914993
canineSCC_DINOv2,4,912,shuffled_sample_pairs,0.4152046783625731,0.5729224264621735,0.48943668603897095,0.6947368421052632,0.5467836257309941,45.86014010803054,0.871345029239766,0.5072582989931107,0.31352171301841736,0.42514619883040927,0.25146198830409355,19.5164962756916,0.08829288929700851
canineSCC_DINOv2,4,912,true_pairs,0.34269005847953216,0.7253799438476562,0.6500603556632996,0.9192982456140351,0.8596491228070176,77.85034293741953,0.8994152046783626,0.37416515946388246,0.15596407651901245,0.1654970760233918,0.08771929824561403,13.292413900480822,0.08348578214645386
canineSCC_DINOv2,4,913,shuffled_region_pairs,0.3157894736842105,0.5379579991102219,0.4036698341369629,0.737719298245614,0.5,56.63087530395019,0.8970760233918128,0.5033297747373581,0.2786170244216919,0.4073099415204678,0.22807017543859648,19.58479731828414,0.07933750748634338
canineSCC_DINOv2,4,913,shuffled_sample_pairs,0.4385964912280701,0.5667720139026642,0.478298157453537,0.7105263157894737,0.5789473684210527,48.454709624748205,0.8631578947368419,0.5211191594600677,0.27737516164779663,0.4309941520467836,0.21929824561403508,20.192620404537386,0.08886069059371948
canineSCC_DINOv2,4,913,true_pairs,0.4140350877192982,0.7290895342826843,0.6553773880004883,0.9242690058479532,0.868421052631579,77.32307475715186,0.8970760233918128,0.3824252739548683,0.14091558754444122,0.1637426900584795,0.07602339181286549,13.300348671391806,0.085012286901474
canineSCC_DINOv2,4,914,shuffled_region_pairs,0.30409356725146197,0.5352816104888916,0.40054044127464294,0.7052631578947368,0.4444444444444444,55.02526662025727,0.9005847953216375,0.5297168076038361,0.38155093789100647,0.4271929824561404,0.24853801169590642,19.963636794507433,0.08275631070137024
canineSCC_DINOv2,4,914,shuffled_sample_pairs,0.4432748538011696,0.570097205042839,0.4886002242565155,0.6938596491228071,0.5380116959064327,46.39614515654685,0.8725146198830409,0.5184758633375168,0.3519781827926636,0.40818713450292393,0.23391812865497075,19.851097901258115,0.09415538609027863
canineSCC_DINOv2,4,914,true_pairs,0.3695906432748538,0.726583993434906,0.6509619951248169,0.9295321637426902,0.8742690058479532,77.58755581232865,0.8912280701754385,0.40098314732313156,0.2119157761335373,0.17105263157894737,0.09649122807017543,13.578916901236742,0.08251062035560608
canineSCC_DINOv2,4,915,shuffled_region_pairs,0.30409356725146197,0.5434971660375595,0.4090317487716675,0.721345029239766,0.49707602339181284,55.7354313177414,0.8853801169590643,0.49752136766910554,0.37347471714019775,0.4198830409356725,0.27192982456140347,19.67854397665817,0.07828810811042786
canineSCC_DINOv2,4,915,shuffled_sample_pairs,0.4865497076023392,0.5849708437919616,0.49349886178970337,0.7038011695906433,0.5497076023391813,45.06209079411959,0.8245614035087719,0.5137920022010803,0.36699777841567993,0.41140350877192977,0.20175438596491227,19.64910195596569,0.09402752667665482
canineSCC_DINOv2,4,915,true_pairs,0.3578947368421052,0.7235327243804932,0.6496708989143372,0.9219298245614034,0.8742690058479532,77.95308995645091,0.8959064327485379,0.3740185275673866,0.21289947628974915,0.16608187134502922,0.07602339181286549,13.519033189775643,0.08251126855611801
SCORPION_Phikon,0,701,true_pairs,0.44800000000000006,0.8601280152797699,0.8224289417266846,1.0,1.0,46.903198915490215,0.944,0.19024933725595475,-0.1309710443019867,0.0795,0.045,9.179629961430011,0.09289084374904633
SCORPION_Phikon,0,701,shuffled_region_pairs,0.43,0.67879998087883,0.6011636853218079,0.9480000000000001,0.905,44.42966619857977,0.9460000000000001,0.37902336195111275,0.0954553410410881,0.5000000000000001,0.375,16.168360211756895,0.11117450892925262
SCORPION_Phikon,0,701,shuffled_sample_pairs,0.348,0.6143296152353287,0.46080702543258667,0.8685,0.6499999999999999,43.39382186519839,0.944,0.3997392632067204,0.11407975107431412,0.49399999999999994,0.4,16.12672000231729,0.10984541475772858
SCORPION_Phikon,0,702,true_pairs,0.47400000000000003,0.8623629748821259,0.8231728076934814,1.0,1.0,47.58057606265851,0.952,0.20018206872045993,-0.19031329452991486,0.07800000000000001,0.04,9.084859613004069,0.09185966104269028
SCORPION_Phikon,0,702,shuffled_region_pairs,0.454,0.6873351693153381,0.5911258459091187,0.9404999999999999,0.84,43.726907212452176,0.952,0.39400793239474297,0.05446668714284897,0.4915,0.39,15.896830004318945,0.11510860919952393
SCORPION_Phikon,0,702,shuffled_sample_pairs,0.39,0.629778915643692,0.5036422610282898,0.8785000000000001,0.665,42.724913304994494,0.944,0.4169293485581875,0.0931939110159874,0.518,0.4,16.049557149243665,0.11586665362119675
SCORPION_Phikon,0,703,true_pairs,0.526,0.8591820478439331,0.8211970329284668,1.0,1.0,49.038129676189854,0.95,0.2164105733856559,-0.20042939484119415,0.08,0.035,9.02121907435852,0.09333063662052155
SCORPION_Phikon,0,703,shuffled_region_pairs,0.422,0.6850038588047027,0.6073492169380188,0.967,0.925,45.500422212110855,0.944,0.4019661176949739,0.04225117340683937,0.492,0.33999999999999997,15.808750439043834,0.11334998160600662
SCORPION_Phikon,0,703,shuffled_sample_pairs,0.32999999999999996,0.6218522995710373,0.48030462861061096,0.8699999999999999,0.62,41.19138182232323,0.9380000000000001,0.412364099919796,0.05546964704990387,0.4875,0.375,15.93021789403374,0.11416105180978775
SCORPION_Phikon,0,704,true_pairs,0.48599999999999993,0.8606039762496949,0.8226587772369385,0.999,0.995,48.563482822595354,0.944,0.17936906944960357,-0.22773253917694092,0.06250000000000001,0.025,8.436032309720883,0.09178715199232101
SCORPION_Phikon,0,704,shuffled_region_pairs,0.454,0.6844046771526336,0.5949585437774658,0.9545,0.885,46.92508835827542,0.9479999999999998,0.3839653585106134,0.045723844319581985,0.4525,0.30000000000000004,15.204841303853552,0.11423298716545105
SCORPION_Phikon,0,704,shuffled_sample_pairs,0.414,0.5997508406639099,0.44608867168426514,0.875,0.66,44.973124703635165,0.9540000000000001,0.39794996827840806,0.08668290078639984,0.4574999999999999,0.315,15.730374712161066,0.11052162200212479
