noise_level,seed,strategy,grade,precision,recall,f1,support
0.0,123,ordinal_harm_blend_50,high_grade_4_5,0.6810810810810811,0.6331658291457286,0.65625,199
0.0,2025,adaptive_ordinal_harm,0,0.54,0.801980198019802,0.6454183266932271,101
0.0,2025,adaptive_ordinal_harm,1,0.3669724770642202,0.40404040404040403,0.38461538461538464,99
0.0,2025,adaptive_ordinal_harm,2,0.4444444444444444,0.3564356435643564,0.3956043956043956,101
0.0,2025,adaptive_ordinal_harm,3,0.45901639344262296,0.27722772277227725,0.345679012345679,101
0.0,2025,adaptive_ordinal_harm,4,0.3522727272727273,0.31313131313131315,0.3315508021390374,99
0.0,2025,adaptive_ordinal_harm,5,0.49107142857142855,0.55,0.5188679245283019,100
0.0,2025,adaptive_ordinal_harm,high_grade_4_5,0.625,0.628140703517588,0.6265664160401002,199
0.0,2025,cross_site_blend_50,0,0.6,0.7722772277227723,0.6753246753246753,101
0.0,2025,cross_site_blend_50,1,0.3854166666666667,0.37373737373737376,0.37948717948717947,99
0.0,2025,cross_site_blend_50,2,0.43956043956043955,0.39603960396039606,0.4166666666666667,101
0.0,2025,cross_site_blend_50,3,0.43661971830985913,0.3069306930693069,0.36046511627906974,101
0.0,2025,cross_site_blend_50,4,0.36936936936936937,0.41414141414141414,0.3904761904761905,99
0.0,2025,cross_site_blend_50,5,0.5,0.51,0.504950495049505,100
0.0,2025,cross_site_blend_50,high_grade_4_5,0.6197183098591549,0.6633165829145728,0.6407766990291263,199
0.0,2025,fedavg,0,0.5570469798657718,0.8217821782178217,0.664,101
0.0,2025,fedavg,1,0.3595505617977528,0.32323232323232326,0.3404255319148936,99
0.0,2025,fedavg,2,0.4533333333333333,0.33663366336633666,0.38636363636363635,101
0.0,2025,fedavg,3,0.4387755102040816,0.42574257425742573,0.4321608040201005,101
0.0,2025,fedavg,4,0.3626373626373626,0.3333333333333333,0.3473684210526316,99
0.0,2025,fedavg,5,0.5050505050505051,0.5,0.5025125628140703,100
0.0,2025,fedavg,high_grade_4_5,0.631578947368421,0.6030150753768844,0.6169665809768637,199
0.0,2025,ordinal_harm_blend_50,0,0.5608108108108109,0.8217821782178217,0.6666666666666666,101
0.0,2025,ordinal_harm_blend_50,1,0.35454545454545455,0.3939393939393939,0.37320574162679426,99
0.0,2025,ordinal_harm_blend_50,2,0.4375,0.3465346534653465,0.3867403314917127,101
0.0,2025,ordinal_harm_blend_50,3,0.46774193548387094,0.2871287128712871,0.3558282208588957,101
0.0,2025,ordinal_harm_blend_50,4,0.3522727272727273,0.31313131313131315,0.3315508021390374,99
0.0,2025,ordinal_harm_blend_50,5,0.48672566371681414,0.55,0.5164319248826291,100
0.0,2025,ordinal_harm_blend_50,high_grade_4_5,0.6169154228855721,0.6231155778894473,0.62,199
0.25,7,adaptive_ordinal_harm,0,0.6422018348623854,0.693069306930693,0.6666666666666666,101
0.25,7,adaptive_ordinal_harm,1,0.4019607843137255,0.40594059405940597,0.4039408866995074,101
0.25,7,adaptive_ordinal_harm,2,0.40816326530612246,0.40404040404040403,0.40609137055837563,99
0.25,7,adaptive_ordinal_harm,3,0.5,0.37623762376237624,0.4293785310734463,101
0.25,7,adaptive_ordinal_harm,4,0.45454545454545453,0.4,0.425531914893617,100
0.25,7,adaptive_ordinal_harm,5,0.5546875,0.7171717171717171,0.6255506607929515,99
0.25,7,adaptive_ordinal_harm,high_grade_4_5,0.7129629629629629,0.7738693467336684,0.7421686746987952,199
0.25,7,cross_site_blend_50,0,0.6178861788617886,0.7524752475247525,0.6785714285714286,101
0.25,7,cross_site_blend_50,1,0.4639175257731959,0.44554455445544555,0.45454545454545453,101
0.25,7,cross_site_blend_50,2,0.45161290322580644,0.2828282828282828,0.34782608695652173,99
0.25,7,cross_site_blend_50,3,0.45544554455445546,0.45544554455445546,0.45544554455445546,101
0.25,7,cross_site_blend_50,4,0.5324675324675324,0.41,0.4632768361581921,100
0.25,7,cross_site_blend_50,5,0.5319148936170213,0.7575757575757576,0.625,99
0.25,7,cross_site_blend_50,high_grade_4_5,0.7201834862385321,0.7889447236180904,0.7529976019184652,199
0.25,7,fedavg,0,0.6016949152542372,0.7029702970297029,0.6484018264840182,101
0.25,7,fedavg,1,0.4016393442622951,0.48514851485148514,0.43946188340807174,101
0.25,7,fedavg,2,0.425531914893617,0.20202020202020202,0.273972602739726,99
0.25,7,fedavg,3,0.39814814814814814,0.42574257425742573,0.41148325358851673,101
0.25,7,fedavg,4,0.4507042253521127,0.32,0.3742690058479532,100
0.25,7,fedavg,5,0.5333333333333333,0.7272727272727273,0.6153846153846154,99
0.25,7,fedavg,high_grade_4_5,0.7135922330097088,0.7386934673366834,0.725925925925926,199
0.25,7,ordinal_harm_blend_50,0,0.6470588235294118,0.7623762376237624,0.7,101
0.25,7,ordinal_harm_blend_50,1,0.4431818181818182,0.38613861386138615,0.4126984126984127,101
0.25,7,ordinal_harm_blend_50,2,0.4166666666666667,0.40404040404040403,0.41025641025641024,99
0.25,7,ordinal_harm_blend_50,3,0.48314606741573035,0.42574257425742573,0.45263157894736844,101
0.25,7,ordinal_harm_blend_50,4,0.4819277108433735,0.4,0.4371584699453552,100
0.25,7,ordinal_harm_blend_50,5,0.5634920634920635,0.7171717171717171,0.6311111111111111,99
0.25,7,ordinal_harm_blend_50,high_grade_4_5,0.7177033492822966,0.7537688442211056,0.7352941176470589,199
0.25,42,adaptive_ordinal_harm,0,0.5220125786163522,0.8217821782178217,0.6384615384615384,101
0.25,42,adaptive_ordinal_harm,1,0.41379310344827586,0.24242424242424243,0.3057324840764331,99
0.25,42,adaptive_ordinal_harm,2,0.40963855421686746,0.3434343434343434,0.37362637362637363,99
0.25,42,adaptive_ordinal_harm,3,0.37777777777777777,0.34,0.35789473684210527,100
0.25,42,adaptive_ordinal_harm,4,0.4605263157894737,0.3465346534653465,0.3954802259887006,101
0.25,42,adaptive_ordinal_harm,5,0.5259259259259259,0.7029702970297029,0.6016949152542372,101
