low_quantile,high_quantile,min_trigger_count,use_entropy,score,clean_trigger_rate,noisy_trigger_rate_mean,clean_global_qwk_delta,clean_worst_site_qwk_delta,noisy_global_qwk_delta_mean,noisy_macro_f1_delta_mean,noisy_worst_site_qwk_delta_mean,noisy_global_positive_regime_count,noisy_global_significant_regime_count,noisy_global_regret_vs_oracle_mean
0.05,0.8,1,False,0.012825825809455703,0.4,0.9555555555555556,-0.0003257406251500949,-0.002618054716105441,0.007609425882480737,0.004490330019894976,0.0067855723079179725,3,2,-8.928540320727072e-05
0.15,0.85,1,False,0.012825825809455703,0.4,0.9555555555555556,-0.0003257406251500949,-0.002618054716105441,0.007609425882480737,0.004490330019894976,0.0067855723079179725,3,2,-8.928540320727072e-05
0.2,0.9,1,False,0.012654422396307378,0.3333333333333333,0.9333333333333332,-0.000809437293251795,-0.0018092041365731651,0.007503537100373096,0.004293755834321938,0.006885246177643782,3,2,-0.000195174185314912
0.1,0.9,1,False,0.012654422396307378,0.3333333333333333,0.9333333333333332,-0.000809437293251795,-0.0018092041365731651,0.007503537100373096,0.004293755834321938,0.006885246177643782,3,2,-0.000195174185314912
0.15,0.9,1,False,0.012654422396307378,0.3333333333333333,0.9333333333333332,-0.000809437293251795,-0.0018092041365731651,0.007503537100373096,0.004293755834321938,0.006885246177643782,3,2,-0.000195174185314912
0.15,0.9,2,False,0.012529770710871784,0.26666666666666666,0.9111111111111111,-0.0008430494406949837,-0.002009823669990348,0.007334563429284446,0.0038417354618982768,0.0069519296202915845,3,2,-0.0003641478564035615
0.1,0.9,2,False,0.012529770710871784,0.26666666666666666,0.9111111111111111,-0.0008430494406949837,-0.002009823669990348,0.007334563429284446,0.0038417354618982768,0.0069519296202915845,3,2,-0.0003641478564035615
0.2,0.9,2,False,0.012529770710871784,0.26666666666666666,0.9111111111111111,-0.0008430494406949837,-0.002009823669990348,0.007334563429284446,0.0038417354618982768,0.0069519296202915845,3,2,-0.0003641478564035615
0.1,0.95,1,False,0.012519342713344468,0.26666666666666666,0.9111111111111111,-0.00098947836328022,-0.0014658199697586674,0.007334563429284446,0.0038417354618982768,0.0069519296202915845,3,2,-0.0003641478564035615
0.1,0.8,2,False,0.012346871075002602,0.3333333333333333,0.9111111111111111,-0.000809437293251795,-0.0018092041365731651,0.007334563429284446,0.0038417354618982768,0.0069519296202915845,3,2,-0.0003641478564035615
0.15,0.85,2,False,0.012346871075002602,0.3333333333333333,0.9111111111111111,-0.000809437293251795,-0.0018092041365731651,0.007334563429284446,0.0038417354618982768,0.0069519296202915845,3,2,-0.0003641478564035615
0.2,0.8,2,False,0.012346871075002602,0.3333333333333333,0.9111111111111111,-0.000809437293251795,-0.0018092041365731651,0.007334563429284446,0.0038417354618982768,0.0069519296202915845,3,2,-0.0003641478564035615
0.15,0.95,1,False,0.012346871075002602,0.3333333333333333,0.9111111111111111,-0.000809437293251795,-0.0018092041365731651,0.007334563429284446,0.0038417354618982768,0.0069519296202915845,3,2,-0.0003641478564035615
0.1,0.85,2,False,0.012346871075002602,0.3333333333333333,0.9111111111111111,-0.000809437293251795,-0.0018092041365731651,0.007334563429284446,0.0038417354618982768,0.0069519296202915845,3,2,-0.0003641478564035615
0.15,0.8,2,False,0.012346871075002602,0.3333333333333333,0.9111111111111111,-0.000809437293251795,-0.0018092041365731651,0.007334563429284446,0.0038417354618982768,0.0069519296202915845,3,2,-0.0003641478564035615
0.2,0.85,2,False,0.012346871075002602,0.3333333333333333,0.9111111111111111,-0.000809437293251795,-0.0018092041365731651,0.007334563429284446,0.0038417354618982768,0.0069519296202915845,3,2,-0.0003641478564035615
0.2,0.95,1,False,0.012346871075002602,0.3333333333333333,0.9111111111111111,-0.000809437293251795,-0.0018092041365731651,0.007334563429284446,0.0038417354618982768,0.0069519296202915845,3,2,-0.0003641478564035615
0.05,0.9,1,False,0.011966753940142717,0.3333333333333333,0.9111111111111111,-0.000809437293251795,-0.0018092041365731651,0.007051605831646208,0.0040316903086571486,0.006656294222284369,3,2,-0.0006471054540418002
0.05,0.95,1,False,0.011960475057908763,0.2,0.888888888888889,-0.0011149882945115023,-0.001515243708584387,0.006882632160557559,0.003579669936233487,0.00672297766493217,3,2,-0.0008160791251304497
