comparison_id,comparison_role,metric,fold,fold_mean_difference,n_slides
full_minus_no_cross_covariance,registered_objective_ablation,pair_cosine_worst,0,0.0020966384410858628,10
full_minus_no_cross_covariance,registered_objective_ablation,pair_cosine_worst,1,0.0013784708976745442,10
full_minus_no_cross_covariance,registered_objective_ablation,pair_cosine_worst,2,0.0012960332036018318,10
full_minus_no_cross_covariance,registered_objective_ablation,pair_cosine_worst,3,0.0017642286088731776,9
full_minus_no_cross_covariance,registered_objective_ablation,pair_cosine_worst,4,0.001077666944927638,9
full_minus_no_cross_covariance,registered_objective_ablation,retrieval_top1_average,0,0.0,10
full_minus_no_cross_covariance,registered_objective_ablation,retrieval_top1_average,1,0.00010000000000000009,10
full_minus_no_cross_covariance,registered_objective_ablation,retrieval_top1_average,2,0.0,10
full_minus_no_cross_covariance,registered_objective_ablation,retrieval_top1_average,3,0.00011111111111111121,9
full_minus_no_cross_covariance,registered_objective_ablation,retrieval_top1_average,4,0.0,9
full_minus_no_cross_covariance,registered_objective_ablation,retrieval_top1_worst,0,0.0,10
full_minus_no_cross_covariance,registered_objective_ablation,retrieval_top1_worst,1,0.0010000000000000009,10
full_minus_no_cross_covariance,registered_objective_ablation,retrieval_top1_worst,2,0.0,10
full_minus_no_cross_covariance,registered_objective_ablation,retrieval_top1_worst,3,0.0011111111111111122,9
full_minus_no_cross_covariance,registered_objective_ablation,retrieval_top1_worst,4,0.0,9
full_minus_no_cross_covariance,registered_objective_ablation,acquisition_scanner_probe_accuracy,0,0.005200000000000015,10
full_minus_no_cross_covariance,registered_objective_ablation,acquisition_scanner_probe_accuracy,1,0.0007999999999999896,10
full_minus_no_cross_covariance,registered_objective_ablation,acquisition_scanner_probe_accuracy,2,0.002799999999999958,10
full_minus_no_cross_covariance,registered_objective_ablation,acquisition_scanner_probe_accuracy,3,-0.0031111111111110767,9
full_minus_no_cross_covariance,registered_objective_ablation,acquisition_scanner_probe_accuracy,4,-0.007555555555555538,9
full_minus_no_scanner_dependence,registered_objective_ablation,scanner_probe_accuracy,0,-0.3248,10
full_minus_no_scanner_dependence,registered_objective_ablation,scanner_probe_accuracy,1,-0.3408,10
full_minus_no_scanner_dependence,registered_objective_ablation,scanner_probe_accuracy,2,-0.32599999999999996,10
full_minus_no_scanner_dependence,registered_objective_ablation,scanner_probe_accuracy,3,-0.29333333333333333,9
full_minus_no_scanner_dependence,registered_objective_ablation,scanner_probe_accuracy,4,-0.29244444444444445,9
full_minus_no_scanner_dependence,registered_objective_ablation,pair_cosine_average,0,0.013765460729599,10
full_minus_no_scanner_dependence,registered_objective_ablation,pair_cosine_average,1,0.015066127610206603,10
full_minus_no_scanner_dependence,registered_objective_ablation,pair_cosine_average,2,0.016442541921138754,10
full_minus_no_scanner_dependence,registered_objective_ablation,pair_cosine_average,3,0.01844206124544143,9
full_minus_no_scanner_dependence,registered_objective_ablation,pair_cosine_average,4,0.0187632631725735,9
full_minus_no_scanner_dependence,registered_objective_ablation,pair_cosine_worst,0,0.016214233756065365,10
full_minus_no_scanner_dependence,registered_objective_ablation,pair_cosine_worst,1,0.016853559970855712,10
full_minus_no_scanner_dependence,registered_objective_ablation,pair_cosine_worst,2,0.018027755081653597,10
full_minus_no_scanner_dependence,registered_objective_ablation,pair_cosine_worst,3,0.026354250179396767,9
full_minus_no_scanner_dependence,registered_objective_ablation,pair_cosine_worst,4,0.023517036702897804,9
full_minus_no_scanner_dependence,registered_objective_ablation,retrieval_top1_average,0,0.0,10
full_minus_no_scanner_dependence,registered_objective_ablation,retrieval_top1_average,1,0.0,10
full_minus_no_scanner_dependence,registered_objective_ablation,retrieval_top1_average,2,0.0,10
full_minus_no_scanner_dependence,registered_objective_ablation,retrieval_top1_average,3,0.00011111111111111121,9
full_minus_no_scanner_dependence,registered_objective_ablation,retrieval_top1_average,4,0.0,9
full_minus_no_scanner_dependence,registered_objective_ablation,retrieval_top1_worst,0,0.0,10
full_minus_no_scanner_dependence,registered_objective_ablation,retrieval_top1_worst,1,0.0,10
full_minus_no_scanner_dependence,registered_objective_ablation,retrieval_top1_worst,2,0.0,10
full_minus_no_scanner_dependence,registered_objective_ablation,retrieval_top1_worst,3,0.0011111111111111122,9
full_minus_no_scanner_dependence,registered_objective_ablation,retrieval_top1_worst,4,-0.0011111111111110998,9
full_minus_no_scanner_dependence,registered_objective_ablation,acquisition_scanner_probe_accuracy,0,0.0043999999999999595,10
full_minus_no_scanner_dependence,registered_objective_ablation,acquisition_scanner_probe_accuracy,1,-0.00039999999999996706,10
full_minus_no_scanner_dependence,registered_objective_ablation,acquisition_scanner_probe_accuracy,2,0.0031999999999999585,10
full_minus_no_scanner_dependence,registered_objective_ablation,acquisition_scanner_probe_accuracy,3,-0.0031111111111110767,9
full_minus_no_scanner_dependence,registered_objective_ablation,acquisition_scanner_probe_accuracy,4,-0.006222222222222203,9
