representation,representation_family,confounding_strength,class,mean,std,count
pca_removal_k0,pca_removal,severe,Epidermis,0.5587792936575561,0.07961571223655631,25
pca_removal_k0,pca_removal,severe,Inflamm/Necrosis,0.37399206349206354,0.1368108498156417,25
pca_removal_k0,pca_removal,severe,SCC,0.36867776492420157,0.130197537738158,25
pca_removal_k0,pca_removal,severe,Subcutis,0.5698823529411764,0.17991335291885133,25
pca_removal_k1,pca_removal,mild,Bone,0.27898412698412695,0.16542109521435444,25
pca_removal_k1,pca_removal,mild,Cartilage,0.0,0.0,5
pca_removal_k1,pca_removal,mild,Dermis,0.16461146198830406,0.08354323745544859,25
pca_removal_k1,pca_removal,mild,Epidermis,0.5660251899986579,0.09513830011221515,25
pca_removal_k1,pca_removal,mild,Inflamm/Necrosis,0.41497460317460316,0.1712815003313467,25
pca_removal_k1,pca_removal,mild,SCC,0.378449605145667,0.113121408537843,25
pca_removal_k1,pca_removal,mild,Subcutis,0.5877019607843138,0.2060418516940036,25
pca_removal_k1,pca_removal,moderate,Bone,0.2716698412698413,0.1686631064288441,25
pca_removal_k1,pca_removal,moderate,Cartilage,0.0,0.0,5
pca_removal_k1,pca_removal,moderate,Dermis,0.13373918128654969,0.06744540441279358,25
pca_removal_k1,pca_removal,moderate,Epidermis,0.5484060741829668,0.08695574086919354,25
pca_removal_k1,pca_removal,moderate,Inflamm/Necrosis,0.3970111111111111,0.14831015936515027,25
pca_removal_k1,pca_removal,moderate,SCC,0.37308740408570074,0.11721038979989758,25
pca_removal_k1,pca_removal,moderate,Subcutis,0.5688282352941176,0.21633239062167783,25
pca_removal_k1,pca_removal,severe,Bone,0.28048253968253967,0.16680994395781146,25
pca_removal_k1,pca_removal,severe,Cartilage,0.0,0.0,5
pca_removal_k1,pca_removal,severe,Dermis,0.19323766081871344,0.0976716087565715,25
pca_removal_k1,pca_removal,severe,Epidermis,0.5222162866693508,0.09609061581359546,25
pca_removal_k1,pca_removal,severe,Inflamm/Necrosis,0.3812603174603174,0.1404441074212651,25
pca_removal_k1,pca_removal,severe,SCC,0.37154573341898484,0.13050231640098203,25
pca_removal_k1,pca_removal,severe,Subcutis,0.5262274509803921,0.19949646725188477,25
pca_removal_k16,pca_removal,mild,Bone,0.25879365079365074,0.17028838935910018,25
pca_removal_k16,pca_removal,mild,Cartilage,0.0,0.0,5
pca_removal_k16,pca_removal,mild,Dermis,0.11899111111111109,0.06630710791195756,25
pca_removal_k16,pca_removal,mild,Epidermis,0.48270236019688073,0.05699653393980005,25
pca_removal_k16,pca_removal,mild,Inflamm/Necrosis,0.29766507936507935,0.12999322136877312,25
