dataset,representation,representation_family,fold,neural_seed,confounding_seed,confounding_strength,balanced_accuracy,macro_f1,weighted_f1,n_test,n_test_errors,max_scanner_error_share,recall_Bone,recall_Dermis,recall_Epidermis,recall_Inflamm/Necrosis,recall_SCC,recall_Subcutis,error_rate_cs2,error_rate_gt450,error_rate_nz20,error_rate_nz210,error_rate_p1000,recall_Cartilage
caninescc,shuffled_sample_acquisition,neural_factorization,2,912,2004,mild,0.4971108521108521,0.38999455636524827,0.4597032136760914,725,391,0.22250639386189258,0.5555555555555556,0.3,0.45454545454545453,0.49,0.36923076923076925,0.8133333333333334,0.5517241379310345,0.5655172413793104,0.5172413793103449,0.46206896551724136,0.6,
caninescc,shuffled_sample_acquisition,neural_factorization,2,912,2005,mild,0.49024734524734526,0.3779547366494623,0.4382403738645335,725,406,0.22167487684729065,0.5555555555555556,0.4222222222222222,0.4090909090909091,0.45,0.31794871794871793,0.7866666666666666,0.5862068965517241,0.5379310344827586,0.5655172413793104,0.4896551724137931,0.6206896551724138,
caninescc,shuffled_sample_acquisition,neural_factorization,2,912,2001,moderate,0.5129150479150479,0.4669686945935625,0.4684751703708427,725,384,0.20833333333333334,0.5777777777777777,0.4111111111111111,0.4409090909090909,0.5,0.37435897435897436,0.7733333333333333,0.5862068965517241,0.5103448275862069,0.5241379310344828,0.47586206896551725,0.5517241379310345,
caninescc,shuffled_sample_acquisition,neural_factorization,2,912,2002,moderate,0.48115773115773114,0.4286443692988631,0.41967778276136863,725,416,0.22596153846153846,0.6444444444444445,0.32222222222222224,0.4318181818181818,0.47,0.2717948717948718,0.7466666666666667,0.5724137931034483,0.6,0.5448275862068965,0.503448275862069,0.6482758620689655,
caninescc,shuffled_sample_acquisition,neural_factorization,2,912,2003,moderate,0.4611693861693862,0.3505483161295249,0.404781335767229,725,430,0.2,0.5111111111111111,0.35555555555555557,0.37727272727272726,0.48,0.2564102564102564,0.7866666666666666,0.6206896551724138,0.6344827586206897,0.5517241379310345,0.5655172413793104,0.593103448275862,
caninescc,shuffled_sample_acquisition,neural_factorization,2,912,2004,moderate,0.43157342657342657,0.3444056134183993,0.41551411562722024,725,426,0.2136150234741784,0.4,0.2,0.43636363636363634,0.47,0.3230769230769231,0.76,0.5862068965517241,0.6689655172413793,0.5793103448275863,0.47586206896551725,0.6275862068965518,
caninescc,shuffled_sample_acquisition,neural_factorization,2,912,2005,moderate,0.4593084693084693,0.3559686966582189,0.412689261140976,725,427,0.20140515222482436,0.5777777777777777,0.15555555555555556,0.33636363636363636,0.48,0.37948717948717947,0.8266666666666667,0.6137931034482759,0.6068965517241379,0.593103448275862,0.5379310344827586,0.593103448275862,
caninescc,shuffled_sample_acquisition,neural_factorization,2,912,2001,severe,0.40671976171976176,0.3686316283483943,0.3694050730521125,725,457,0.22538293216630198,0.4222222222222222,0.5555555555555556,0.36818181818181817,0.28,0.24102564102564103,0.5733333333333334,0.593103448275862,0.6758620689655173,0.5586206896551724,0.6137931034482759,0.7103448275862069,
caninescc,shuffled_sample_acquisition,neural_factorization,2,912,2002,severe,0.3962017612017612,0.3269483275830049,0.3969266245305067,725,449,0.21158129175946547,0.35555555555555557,0.3333333333333333,0.35909090909090907,0.28,0.36923076923076925,0.68,0.6413793103448275,0.593103448275862,0.5724137931034483,0.6344827586206897,0.6551724137931034,
caninescc,shuffled_sample_acquisition,neural_factorization,2,912,2003,severe,0.470991970991971,0.4297330269360746,0.42553680286348183,725,415,0.2216867469879518,0.4888888888888889,0.4,0.39090909090909093,0.5,0.3128205128205128,0.7333333333333333,0.5655172413793104,0.6068965517241379,0.5241379310344828,0.5310344827586206,0.6344827586206897,
caninescc,shuffled_sample_acquisition,neural_factorization,2,912,2004,severe,0.4593227143227143,0.34899648870570493,0.40647455607519856,725,433,0.23094688221709006,0.4666666666666667,0.4777777777777778,0.33636363636363636,0.43,0.2717948717948718,0.7733333333333333,0.503448275862069,0.6827586206896552,0.5517241379310345,0.5586206896551724,0.6896551724137931,
caninescc,shuffled_sample_acquisition,neural_factorization,2,912,2005,severe,0.4356449106449107,0.39362345987111863,0.3961428311722587,725,437,0.21967963386727687,0.5555555555555556,0.2777777777777778,0.38181818181818183,0.29,0.3487179487179487,0.76,0.5448275862068965,0.6,0.6551724137931034,0.5517241379310345,0.6620689655172414,
caninescc,shuffled_sample_acquisition,neural_factorization,2,913,2001,mild,0.42965941465941465,0.32837792510416836,0.37397112878502214,725,451,0.18625277161862527,0.4666666666666667,0.18888888888888888,0.32727272727272727,0.47,0.2717948717948718,0.8533333333333334,0.6068965517241379,0.6689655172413793,0.6551724137931034,0.6,0.5793103448275863,
caninescc,shuffled_sample_acquisition,neural_factorization,2,913,2002,mild,0.44789691789691793,0.41692849055760967,0.4170903233440993,725,425,0.2023529411764706,0.4,0.34444444444444444,0.35909090909090907,0.43,0.35384615384615387,0.8,0.5517241379310345,0.5724137931034483,0.6344827586206897,0.5793103448275863,0.593103448275862,
caninescc,shuffled_sample_acquisition,neural_factorization,2,913,2003,mild,0.45337736337736345,0.36531116279381914,0.4196525870378674,725,419,0.1957040572792363,0.4,0.3888888888888889,0.37727272727272726,0.39,0.3641025641025641,0.8,0.5586206896551724,0.5517241379310345,0.6206896551724138,0.593103448275862,0.5655172413793104,
caninescc,shuffled_sample_acquisition,neural_factorization,2,913,2004,mild,0.4117106967106967,0.32265134747806284,0.37011152287837046,725,451,0.1973392461197339,0.3333333333333333,0.15555555555555556,0.2772727272727273,0.5,0.3641025641025641,0.84,0.6551724137931034,0.6137931034482759,0.6620689655172414,0.5655172413793104,0.6137931034482759,
caninescc,shuffled_sample_acquisition,neural_factorization,2,913,2005,mild,0.44876197876197876,0.40447510197469155,0.40430170658198605,725,430,0.1883720930232558,0.35555555555555557,0.36666666666666664,0.32727272727272727,0.48,0.3230769230769231,0.84,0.6,0.593103448275862,0.6344827586206897,0.5793103448275863,0.5586206896551724,
caninescc,shuffled_sample_acquisition,neural_factorization,2,913,2001,moderate,0.4136519036519037,0.326888342819554,0.3831621948300152,725,446,0.18385650224215247,0.24444444444444444,0.32222222222222224,0.3090909090909091,0.52,0.3128205128205128,0.7733333333333333,0.6689655172413793,0.6206896551724138,0.6413793103448275,0.5793103448275863,0.5655172413793104,
caninescc,shuffled_sample_acquisition,neural_factorization,2,913,2002,moderate,0.36816757316757315,0.33430516352215817,0.3481054748283173,725,472,0.2055084745762712,0.4,0.022222222222222223,0.35909090909090907,0.4,0.3076923076923077,0.72,0.6482758620689655,0.6620689655172414,0.6551724137931034,0.6206896551724138,0.6689655172413793,
