representation,representation_family,confounding_strength,scanner,mean,std,count
pca_removal_k0,pca_removal,severe,p1000,0.5954463125098334,0.08652692073711185,25
pca_removal_k1,pca_removal,mild,cs2,0.5794179033643644,0.05682834170073326,25
pca_removal_k1,pca_removal,mild,gt450,0.5941771622542947,0.07297570295459765,25
pca_removal_k1,pca_removal,mild,nz20,0.5674654108746667,0.06733097653629767,25
pca_removal_k1,pca_removal,mild,nz210,0.5765158951756049,0.06479246477321642,25
pca_removal_k1,pca_removal,mild,p1000,0.5863328498818516,0.07035344211936512,25
pca_removal_k1,pca_removal,moderate,cs2,0.6020947830820789,0.0546633979229319,25
pca_removal_k1,pca_removal,moderate,gt450,0.619662946047701,0.061628009473478955,25
pca_removal_k1,pca_removal,moderate,nz20,0.5866603781041168,0.06438523584072149,25
pca_removal_k1,pca_removal,moderate,nz210,0.5823626218508251,0.049789708987289835,25
pca_removal_k1,pca_removal,moderate,p1000,0.5928426075504115,0.06657651258519412,25
pca_removal_k1,pca_removal,severe,cs2,0.5986415260816349,0.0762174632045057,25
pca_removal_k1,pca_removal,severe,gt450,0.6345291034837315,0.08926156714742159,25
pca_removal_k1,pca_removal,severe,nz20,0.5765852119245949,0.07708110376812008,25
pca_removal_k1,pca_removal,severe,nz210,0.5916314866151526,0.07797844866029371,25
pca_removal_k1,pca_removal,severe,p1000,0.615747373517791,0.08117377228089849,25
pca_removal_k16,pca_removal,mild,cs2,0.6468261077834581,0.03730996368329305,25
pca_removal_k16,pca_removal,mild,gt450,0.6552391541039454,0.05889149081594531,25
pca_removal_k16,pca_removal,mild,nz20,0.6360863010754119,0.05959816192325478,25
pca_removal_k16,pca_removal,mild,nz210,0.6319203017860004,0.05931758610118868,25
pca_removal_k16,pca_removal,mild,p1000,0.6585188276467768,0.05021132752416651,25
pca_removal_k16,pca_removal,moderate,cs2,0.678786073273369,0.029726498178135097,25
pca_removal_k16,pca_removal,moderate,gt450,0.682569015007309,0.05310522125101037,25
pca_removal_k16,pca_removal,moderate,nz20,0.6479919833477003,0.0547192014055851,25
pca_removal_k16,pca_removal,moderate,nz210,0.6473592391677692,0.05641766256218332,25
pca_removal_k16,pca_removal,moderate,p1000,0.6726238481556086,0.04566659818933996,25
pca_removal_k16,pca_removal,severe,cs2,0.6631034224228416,0.066544098141521,25
pca_removal_k16,pca_removal,severe,gt450,0.6749381366767936,0.06791250753318848,25
pca_removal_k16,pca_removal,severe,nz20,0.6501214549045765,0.06910468272044255,25
pca_removal_k16,pca_removal,severe,nz210,0.6560612927101129,0.07581053586677727,25
pca_removal_k16,pca_removal,severe,p1000,0.6779126821622284,0.06641932016235312,25
pca_removal_k2,pca_removal,mild,cs2,0.5826256216728086,0.04986002126244322,25
pca_removal_k2,pca_removal,mild,gt450,0.5995970422667337,0.07258391555174167,25
pca_removal_k2,pca_removal,mild,nz20,0.5767304637957996,0.0732730065790158,25
pca_removal_k2,pca_removal,mild,nz210,0.5690264720155828,0.06282078511205674,25
pca_removal_k2,pca_removal,mild,p1000,0.5935977026267407,0.06193915008203475,25
pca_removal_k2,pca_removal,moderate,cs2,0.6001228029549264,0.051091004170436674,25
pca_removal_k2,pca_removal,moderate,gt450,0.6188504472941859,0.05932938315638916,25
pca_removal_k2,pca_removal,moderate,nz20,0.5852263273125342,0.06520564157103657,25
pca_removal_k2,pca_removal,moderate,nz210,0.5838867774357792,0.05537883558162666,25
pca_removal_k2,pca_removal,moderate,p1000,0.5982890253189709,0.05766732731546903,25
pca_removal_k2,pca_removal,severe,cs2,0.5956002155403244,0.07184900676655444,25
pca_removal_k2,pca_removal,severe,gt450,0.6405504289016086,0.0861050155120501,25
pca_removal_k2,pca_removal,severe,nz20,0.5802732638404144,0.07075705421393444,25
