cell_key,acquisition_dim,cross_covariance_weight,fold,seed,epochs,classification,run_id,record_sha256,code_commit,environment_sha256,dataset_source_sha256,split_manifest_sha256,pair_assignments_sha256
dim16-xcov0p05-fold1-seed911,16,0.05,1,911,75,valid and complete,parun-v1-9afe2ee0baca88c0f146d964832be5a8c3290702e1c5fe20bc49999fd8c0c039,b4bd12848e2c53c2dde06b471c11d72c2b51a7cb436816b65b4825dd84a9b6cb,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,96501c9be1258f74c119d9f88a61c6945cf51f8c56ab53147b6c0b10792b3212,4b71f8ec363b6ac63db9f82872fa5c7ab5807a34e9ec5b0b43d6868e5fdbb9c2
dim16-xcov0p05-fold1-seed912,16,0.05,1,912,75,valid and complete,parun-v1-c682528b4abbb5343ce0f65e8b1a279e74f239839b2277d7e7b65c83b014ef57,14c2d49a863cc63e292ab19b45e5e3d0e1991cd43602427f9147ff8ee6dbd201,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,96501c9be1258f74c119d9f88a61c6945cf51f8c56ab53147b6c0b10792b3212,f8c616da5b2df50729c7df94506e219d3178fc5210df108a9bd19fdc705bc64c
dim16-xcov0p05-fold1-seed913,16,0.05,1,913,75,valid and complete,parun-v1-642513ce99518066d9b6ab2abef17f88e4686d5563112cafa5826b759c2e6512,9262e07916b5af6d5fb92b350f60fc341cf48cf7aa74a632012d22356f3edd7a,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,96501c9be1258f74c119d9f88a61c6945cf51f8c56ab53147b6c0b10792b3212,15982657a25be52fa73802a18ef4fdcdff3af4a7333ae1226cea85949040fe89
dim16-xcov0p05-fold1-seed914,16,0.05,1,914,75,valid and complete,parun-v1-7dc53281b0d051eec2ca117a969bdb158a1a4402d90646185ef6383796e84c12,b13c06ff32fba3f571e9edcb3ae8194d52055e7b517e0aa41bd2fcde362af0a7,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,96501c9be1258f74c119d9f88a61c6945cf51f8c56ab53147b6c0b10792b3212,b6d68ca618d55dba9f14a3abab5eab20c9dd642686516063f1b5e92b03aa852a
dim16-xcov0p05-fold1-seed915,16,0.05,1,915,75,valid and complete,parun-v1-9215811d53f6cec5368d0e909153e67eed944fa8389ed1755cc29e19d06ab9b6,228f68d75ba58a2a5b8a2dd9e0e1572545a8ab3fd3507aaab1cf7514e300c5ca,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,96501c9be1258f74c119d9f88a61c6945cf51f8c56ab53147b6c0b10792b3212,41209e4d02ee396812654aa1c5f410b4b06c2428fbd18ad896ed92231aa7e68d
dim16-xcov0p05-fold2-seed911,16,0.05,2,911,75,valid and complete,parun-v1-01ac11777d83639b599bfeaa163f38a07832c796552abb6837a32a4501d8e7b0,4fa5c6f75e4a98d8c1fdd2a03349a8503224d560c85da40744f61a0e838d0e35,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,6d6c2bc39de24244e414816dd4386fd0a61c94fc2e7d66f6e88aef61f66e1f3e,93e99ccaaa2200a6a9d2e8fd3c1050764304a1915e0fa320a1ab37f96adf9f57
dim16-xcov0p05-fold2-seed912,16,0.05,2,912,75,valid and complete,parun-v1-af7b0288a7fee42ee4e28173b048f6fe76fdde20e551a4833192889cd4c450af,fcaa860c40eac81c66722b5152f4d9cb4fe7294d56be9afc8017fe7912dde03d,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,6d6c2bc39de24244e414816dd4386fd0a61c94fc2e7d66f6e88aef61f66e1f3e,a8cc4504a50f85b3737249d3bd3e015b1f8d0a87d9b6a9d2a79b6f287630c7c9
dim16-xcov0p05-fold2-seed913,16,0.05,2,913,75,valid and complete,parun-v1-f3d5786559e6fef7494df02450fff8b8ba909c69f57af5956431ee06615e57c4,05f40b30e0c7d0df9ef083b479f06317689977781d61e23a0cb8b9eef66a3eca,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,6d6c2bc39de24244e414816dd4386fd0a61c94fc2e7d66f6e88aef61f66e1f3e,1b7e89fba89f7566ae185fc800936c590fe515220ab53f006ebc3133b8da59fc
dim16-xcov0p05-fold2-seed914,16,0.05,2,914,75,valid and complete,parun-v1-57a0aecd232612f555cb2675ffcd6b1d1d19f433960953613a4021e34c3cc3bc,73afafd6e54619f724d4ec044ff7f09097ec866ea0cff855de773e0f0495c532,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,6d6c2bc39de24244e414816dd4386fd0a61c94fc2e7d66f6e88aef61f66e1f3e,c789db08d9ef36d74d4c6c3b9858511f08661765bac3ee799dc3a9982143160a
dim16-xcov0p05-fold2-seed915,16,0.05,2,915,75,valid and complete,parun-v1-c6521086c5b77552472e3c03b904036932df4cdeaf622c059827cf269716a15b,d81ac9f12749eaea0c7cf68f778b22f09f827dda77c7a7e6a18e3fb51abada06,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,6d6c2bc39de24244e414816dd4386fd0a61c94fc2e7d66f6e88aef61f66e1f3e,d336a73f85511cd34eb983aaf5e39f7ab3033271a7da72741e3648c4fe632bcc
