variant,threshold_shift,runs,triggered_runs,trigger_rate,mean_failure_count,mean_failure_count_when_triggered,mean_delta_global_qwk,sd_delta_global_qwk,ci95_low_global_qwk,ci95_high_global_qwk,positive_seed_count_global_qwk,negative_seed_count_global_qwk,mean_delta_macro_f1,sd_delta_macro_f1,ci95_low_macro_f1,ci95_high_macro_f1,positive_seed_count_macro_f1,negative_seed_count_macro_f1,mean_delta_worst_site_qwk,sd_delta_worst_site_qwk,ci95_low_worst_site_qwk,ci95_high_worst_site_qwk,positive_seed_count_worst_site_qwk,negative_seed_count_worst_site_qwk,mean_delta_mean_site_qwk,sd_delta_mean_site_qwk,ci95_low_mean_site_qwk,ci95_high_mean_site_qwk,positive_seed_count_mean_site_qwk,negative_seed_count_mean_site_qwk,mean_delta_global_accuracy,sd_delta_global_accuracy,ci95_low_global_accuracy,ci95_high_global_accuracy,positive_seed_count_global_accuracy,negative_seed_count_global_accuracy
only_mean_abs_error_high,35,15,14,0.9333333333333333,0.9333333333333333,1.0,0.005681627320102282,0.008979438530981642,0.0007084854480060142,0.01065476919219855,11,3,0.00932707533185166,0.014876886772255323,0.0010877106679844269,0.017566439995718892,12,2,0.007029339609126609,0.020035986520561107,-0.004067323413886022,0.01812600263213924,8,6,0.00609891824720014,0.007954134301472767,0.001693627402516669,0.01050420909188361,12,2,0.008972549019607838,0.009476194036585285,0.0037242857580629847,0.01422081228115269,12,2
only_mean_abs_error_high,45,15,15,1.0,1.0,1.0,0.011619746147243194,0.014354901958879755,0.0036694757873282375,0.01957001650715815,13,2,0.019911637781005454,0.009788253361096655,0.01449054463839944,0.02533273092361147,15,0,0.01405133946318402,0.012829787456206183,0.006945733362266788,0.021156945564101252,12,3,0.012367070682953419,0.012682406879642174,0.005343089342194105,0.019391052023712732,13,2,0.017599999999999994,0.006821326796051249,0.013822099433539275,0.021377900566460713,15,0
only_severe_error_rate_high,0,15,3,0.2,0.2,1.0,-0.0002611792030231689,0.0015820282290600466,-0.0011373643677894479,0.0006150059617431099,1,2,0.0004059408032219195,0.0014882308526657179,-0.0004182959397772341,0.0012301775462210732,2,1,0.0028942806301201236,0.007492752791197868,-0.0012554802390707387,0.007044041499310986,3,0,0.0003451007851376457,0.0017743499523171279,-0.0006375991925029012,0.0013278007627781927,2,1,-6.274509803921487e-05,0.002595050868426586,-0.0014999792958639636,0.0013744890997855338,2,1
only_severe_error_rate_high,25,15,4,0.26666666666666666,0.26666666666666666,1.0,0.00144272428161402,0.005399348933963569,-0.0015476328741153053,0.004433081437343345,3,1,0.002252578715274156,0.008382535123797679,-0.002389976192211644,0.006895133622759956,3,1,0.00408077157198458,0.013755039996186458,-0.0035372732669409533,0.011698816410910112,3,1,0.00197396805191834,0.0056647044813124625,-0.0011633527228569456,0.005111288826693625,3,1,0.0019137254901960758,0.005808522667101304,-0.0013032470622764084,0.00513069804266856,3,1
only_severe_error_rate_high,35,15,7,0.4666666666666667,0.4666666666666667,1.0,0.00546922976984053,0.008596046011674033,0.000708424714198721,0.010230034825482338,7,0,0.007453071954199483,0.010523356564581898,0.0016248517391210526,0.013281292169277913,7,0,0.00927834299336705,0.014624928800521107,0.0011785218805711439,0.017378164106162955,6,1,0.005413501080735335,0.007865030541510104,0.0010575591611659049,0.009769443000304766,7,0,0.0065568627450980355,0.007969227353408529,0.0021432128155675027,0.010970512674628568,7,0
only_severe_error_rate_high,45,15,8,0.5333333333333333,0.5333333333333333,1.0,0.00966561645143662,0.01500799572957117,0.0013536388459935138,0.01797759405687973,8,0,0.01170171444974198,0.012872469197985244,0.004572469637285815,0.018830959262198146,8,0,0.007666873693935609,0.012043461581295429,0.0009967636566240255,0.014336983731247192,7,1,0.009661852571128053,0.013416135435653792,0.002231505488004757,0.01709219965425135,8,0,0.010415686274509802,0.011328891378457433,0.004141331382024349,0.016690041166995257,8,0
only_site_qwk_spread_high,0,15,3,0.2,0.2,1.0,-0.0019699768984711005,0.004355609552689479,-0.004382272964672305,0.0004423191677301046,0,3,-0.0024392835258775667,0.006196167352215207,-0.005870947899936002,0.0009923808481808686,0,3,0.0021658972737373197,0.007275646240308156,-0.0018636220374529237,0.0061954165849275634,2,1,-0.0018713443177634274,0.004458456004689586,-0.004340600515165882,0.0005979118796390276,0,3,-0.0016627450980392163,0.003543352486645982,-0.0036251834574239374,0.0002996932613455049,0,3
only_site_qwk_spread_high,25,15,2,0.13333333333333333,0.13333333333333333,1.0,-0.00016092269541803094,0.0006011558609600202,-0.0004938648246481899,0.00017201943381212805,0,2,0.0006793490202940326,0.0025132247588980634,-0.0007125668817238014,0.0020712649223118664,2,0,-0.00042532468741621383,0.0022292989390759075,-0.0016599920734767298,0.000809342698644302,1,1,-0.0010505100629903063,0.003886628243867738,-0.0032030671069703818,0.0011020469809897692,0,2,0.0004392156862745189,0.0012760129037870755,-0.00026748698553105585,0.0011459183580800937,2,0
only_site_qwk_spread_high,35,15,4,0.26666666666666666,0.26666666666666666,1.0,0.0015712771632129697,0.00398605152016944,-0.0006363441319149927,0.003778898458340932,4,0,0.0021613479942740026,0.008784119666858926,-0.0027036191385857826,0.007026315127133788,3,1,0.0010085133799221083,0.008951988848013617,-0.003949425852580041,0.005966452612424258,1,3,0.0015033507400270688,0.002687789165185903,1.4754677518980224e-05,0.0029919468025351574,4,0,0.0019137254901960684,0.005094745757978619,-0.0009079312725590581,0.0047353822529511945,3,1
only_site_qwk_spread_high,45,15,3,0.2,0.2,1.0,0.0009856768933517465,0.003309258368686656,-0.0008471115713298482,0.0028184653580333413,2,1,0.0025127477591736207,0.005907922635127358,-0.000759276135470183,0.005784771653817425,3,0,0.0035585465929760898,0.008549323152526829,-0.0011763816323486216,0.0082934748183008,3,0,0.0010345365880301883,0.004158839207203584,-0.0012687808554045252,0.0033378540314649018,2,1,0.0021019607843137202,0.004899759729936296,-0.0006117055760142065,0.004815627144641647,3,0
