representation,fold,scanner_probe_balanced_accuracy,category_probe_balanced_accuracy,category_probe_macro_f1,purity_fit_pool_k1,purity_fit_pool_k5,purity_fit_pool_k10,effective_rank_all_test
oldstyle_keep_k4,3,0.2,0.4065989409462415,0.3555756160232525,0.46938775510204084,0.48326530612244906,0.46775510204081633,54.775027440231185
oldstyle_keep_k4,4,0.2,0.4580706889174155,0.409976281133947,0.4444444444444444,0.4293827160493827,0.4164197530864197,50.8502592841375
oldstyle_removed_k1,0,0.2375,0.2783975504799735,0.21094209140947212,0.2874074074074074,0.2654814814814815,0.2637037037037037,1.0000000000031517
oldstyle_removed_k1,1,0.28148148148148144,0.24100613176777563,0.21874390428056628,0.2510869565217391,0.24804347826086956,0.2548913043478261,1.0000000000056568
oldstyle_removed_k1,2,0.2731034482758621,0.2936223776223776,0.2255160030511199,0.27794117647058825,0.25441176470588234,0.2461764705882353,1.0000000000064324
oldstyle_removed_k1,3,0.28205128205128205,0.2999630482329918,0.20018860003130773,0.22585034013605443,0.22367346938775515,0.23564625850340135,1.0000000000039737
oldstyle_removed_k1,4,0.29239766081871343,0.2405975752389103,0.19973524111784866,0.24814814814814815,0.26469135802469135,0.2611111111111111,1.0000000000060143
oldstyle_removed_k2,0,0.3416666666666667,0.2645407149950348,0.18940420798270763,0.26222222222222225,0.25837037037037036,0.26414814814814813,1.837958952796498
oldstyle_removed_k2,1,0.3492063492063492,0.3041221135029354,0.28588407022938717,0.2543478260869565,0.2576086956521739,0.2573913043478261,1.9528234286460369
oldstyle_removed_k2,2,0.38620689655172413,0.2878787878787879,0.21791776492748993,0.2661764705882353,0.25617647058823534,0.25720588235294123,1.8926159206764688
oldstyle_removed_k2,3,0.38461538461538464,0.2869217221135029,0.22365225286323326,0.2829931972789116,0.2756462585034014,0.2759183673469388,1.8349882545434557
oldstyle_removed_k2,4,0.4140350877192982,0.26701297960348025,0.2349912969945362,0.24320987654320989,0.2580246913580247,0.25679012345679014,1.866206581485681
oldstyle_removed_k3,0,0.43611111111111106,0.24058250579278387,0.1821403352231603,0.2562962962962963,0.2648888888888889,0.2657777777777778,2.2478211709418283
oldstyle_removed_k3,1,0.44338624338624333,0.30332889758643183,0.28654429381452917,0.28152173913043477,0.28021739130434786,0.2729347826086957,2.585665550460569
oldstyle_removed_k3,2,0.4413793103448276,0.3522843822843823,0.28832149091251386,0.27058823529411763,0.2735294117647059,0.2763235294117647,2.672355633963058
oldstyle_removed_k3,3,0.45641025641025645,0.3337256820536434,0.255261522076505,0.2897959183673469,0.29523809523809524,0.2870748299319728,2.4717817188405715
oldstyle_removed_k3,4,0.5426900584795321,0.302846270146912,0.2678433647725316,0.3012345679012346,0.28296296296296297,0.2814814814814815,2.4269268028073268
oldstyle_removed_k4,0,0.4902777777777777,0.25141790797749086,0.18635875865188348,0.25925925925925924,0.26311111111111113,0.264,2.6917071075923324
oldstyle_removed_k4,1,0.508994708994709,0.33300560991519895,0.3079328518324168,0.2858695652173913,0.28891304347826086,0.28815217391304343,3.0445497168650877
oldstyle_removed_k4,2,0.5006896551724138,0.3403869463869464,0.28506167762365325,0.3029411764705882,0.3011764705882353,0.29,3.09596611786506
oldstyle_removed_k4,3,0.5038461538461538,0.38207563025210084,0.29581570298992227,0.3047619047619048,0.3044897959183674,0.30244897959183675,2.9522608542103765
oldstyle_removed_k4,4,0.5953216374269006,0.3168790757381258,0.28838757125769476,0.2938271604938272,0.291358024691358,0.2858024691358025,2.7505945757270025
original_frozen_features,0,0.8472222222222221,0.3910921052631579,0.3220017345530144,0.3362962962962963,0.32237037037037036,0.3165925925925926,39.24722058444208
