dataset_backbone,fold,seed,condition,original_condition,source,ladder_level,bio_scanner_probe_accuracy,bio_mean_paired_cosine,bio_worst_paired_cosine,bio_mean_top1_retrieval,bio_worst_top1_retrieval,bio_effective_rank,acq_scanner_probe_accuracy,acq_mean_paired_cosine,acq_worst_paired_cosine,acq_mean_top1_retrieval,acq_worst_top1_retrieval,acq_effective_rank,biological_acquisition_cross_covariance
SCORPION_ResNet50,0,705,true_same_region_pairs,true_pairs,existing,0,0.2919999999999999,0.6564507424831391,0.6065824031829834,0.966,0.915,86.83491680663131,0.786,0.3409957461059093,0.03384806960821152,0.166,0.095,9.40273545048857,0.09216780215501785
SCORPION_ResNet50,0,705,same_slide_different_region_pairs,shuffled_region_pairs,existing,1,0.266,0.5202878713607788,0.4537574052810669,0.8665,0.78,82.77122483589811,0.7660000000000001,0.47412161231040956,0.23527643084526062,0.30400000000000005,0.185,14.112916403249848,0.0867067277431488
SCORPION_ResNet50,0,705,shuffled_sample_pairs,shuffled_sample_pairs,existing,2,0.29200000000000004,0.5265508890151978,0.4768890142440796,0.882,0.815,80.85371581547076,0.768,0.48594229519367216,0.2659142017364502,0.3205,0.195,14.583428710428745,0.08999486267566681
SCORPION_ResNet50,1,701,true_same_region_pairs,true_pairs,existing,0,0.294,0.6405424833297729,0.5732773542404175,0.9724999999999999,0.95,93.00584974533699,0.7620000000000001,0.3387548491358757,-0.01960797607898712,0.1955,0.125,9.266973848237663,0.07956907153129578
SCORPION_ResNet50,1,701,same_slide_different_region_pairs,shuffled_region_pairs,existing,1,0.278,0.5178363740444183,0.4380704462528229,0.8985,0.79,85.66862535258268,0.764,0.46259599924087524,0.18173804879188538,0.352,0.19,14.352292329885884,0.07805920392274857
SCORPION_ResNet50,1,701,shuffled_sample_pairs,shuffled_sample_pairs,existing,2,0.288,0.5040245294570923,0.43582916259765625,0.885,0.815,86.39637778877761,0.7699999999999999,0.477326375246048,0.1973932385444641,0.368,0.215,14.654472077683243,0.07952062785625458
SCORPION_ResNet50,1,702,true_same_region_pairs,true_pairs,existing,0,0.27,0.6452538549900055,0.5701954364776611,0.974,0.94,90.10542531706044,0.76,0.3307291228324175,0.0362771637737751,0.20049999999999998,0.13,9.896274421462746,0.08349643647670746
SCORPION_ResNet50,1,702,same_slide_different_region_pairs,shuffled_region_pairs,existing,1,0.27599999999999997,0.5150426238775253,0.4318211078643799,0.9065,0.815,86.39658377403948,0.764,0.46409128457307813,0.2262525111436844,0.35800000000000004,0.24,15.282172523642535,0.07912690192461014
SCORPION_ResNet50,1,702,shuffled_sample_pairs,shuffled_sample_pairs,existing,2,0.296,0.5145868510007858,0.4359016716480255,0.882,0.775,83.80239203627423,0.766,0.46852896064519883,0.23426158726215363,0.362,0.22,15.211483968168352,0.07888976484537125
SCORPION_ResNet50,1,703,true_same_region_pairs,true_pairs,existing,0,0.294,0.6468158960342407,0.5852265357971191,0.9645000000000001,0.925,91.65325815725211,0.7699999999999999,0.32633647248148917,0.05372839421033859,0.1965,0.135,9.728833794047024,0.08475007861852646
