noise,seed,metric,clean_strategy,corrupted_strategy,chosen_strategy,clean_value,corrupted_value,switch_value,delta_corrupted_vs_clean,delta_switch_vs_clean
25,42,macro_f1,fedavg,cross_site_blend_50,cross_site_blend_50,0.4869709885946345,0.4866928897638263,0.4866928897638263,-0.0002780988308082044,-0.0002780988308082044
25,7,global_qwk,fedavg,cross_site_blend_50,cross_site_blend_50,0.6962668942082452,0.6991910882103123,0.6991910882103123,0.0029241940020671153,0.0029241940020671153
25,7,worst_site_qwk,fedavg,cross_site_blend_50,cross_site_blend_50,0.669137364027321,0.668554992057001,0.668554992057001,-0.0005823719703200725,-0.0005823719703200725
25,7,mean_site_qwk,fedavg,cross_site_blend_50,cross_site_blend_50,0.6995746326389873,0.7030307182660339,0.7030307182660339,0.003456085627046579,0.003456085627046579
25,7,global_accuracy,fedavg,cross_site_blend_50,cross_site_blend_50,0.5524705882352942,0.5534117647058824,0.5534117647058824,0.0009411764705882231,0.0009411764705882231
25,7,macro_f1,fedavg,cross_site_blend_50,cross_site_blend_50,0.4712464349896524,0.4878987204156371,0.4878987204156371,0.01665228542598468,0.01665228542598468
25,99,global_qwk,fedavg,cross_site_blend_50,cross_site_blend_50,0.6872579319877408,0.7060162533720356,0.7060162533720356,0.018758321384294785,0.018758321384294785
25,99,worst_site_qwk,fedavg,cross_site_blend_50,cross_site_blend_50,0.6591101530068151,0.6423189591177216,0.6423189591177216,-0.016791193889093448,-0.016791193889093448
25,99,mean_site_qwk,fedavg,cross_site_blend_50,cross_site_blend_50,0.6860577936755455,0.6973232820267502,0.6973232820267502,0.011265488351204667,0.011265488351204667
25,99,global_accuracy,fedavg,cross_site_blend_50,cross_site_blend_50,0.5331764705882353,0.5449411764705883,0.5449411764705883,0.01176470588235301,0.01176470588235301
25,99,macro_f1,fedavg,cross_site_blend_50,cross_site_blend_50,0.4701100036476635,0.4803920451421393,0.4803920451421393,0.010282041494475813,0.010282041494475813
