phase,variant,fold,seed,acquisition_dim,cross_covariance_weight,paired_category_contrast,paired_scanner_contrast,biological_scanner_leakage,biological_category_preservation,acquisition_scanner_capture,acquisition_category_leakage,acq_category_delta_vs_true_pair_reference,acq_scanner_delta_vs_true_pair_reference,bio_scanner_delta_vs_true_pair_reference,bio_category_delta_vs_true_pair_reference
full,acq_dim8_default,1,912,8,0.05,0.18039399869536848,0.44338624338624344,0.401058201058201,0.35642052620134806,0.8444444444444444,0.17602652750597958,-0.16957347249402044,-0.020655555555555538,0.039658201058201004,-0.029579473798651945
full,acq_dim8_default,1,913,8,0.05,0.2167023265927376,0.4634920634920635,0.3851851851851852,0.38163209393346387,0.8486772486772487,0.16492976734072626,-0.18067023265927376,-0.016422751322751283,0.023785185185185187,-0.0043679060665361424
full,acq_dim8_default,1,914,8,0.05,0.16983953033268104,0.455026455026455,0.39788359788359784,0.3613507284192216,0.8529100529100528,0.19151119808654057,-0.15408880191345944,-0.01218994708994714,0.03648359788359784,-0.024649271580778398
full,acq_dim8_default,1,915,8,0.05,0.20441617742987603,0.47301587301587295,0.3862433862433862,0.39285757773429003,0.8592592592592592,0.188441400304414,-0.15715859969558602,-0.005840740740740813,0.024843386243386223,0.006857577734290021
full,acq_dim8_default,2,911,8,0.05,0.26996891996892003,0.5172413793103448,0.3489655172413793,0.4703159803159804,0.8662068965517241,0.20034706034706032,-0.1452529396529397,0.0011068965517241347,-0.01243448275862069,0.08431598031598037
full,acq_dim8_default,2,912,8,0.05,0.3275161875161875,0.45793103448275874,0.3986206896551724,0.472042217042217,0.8565517241379311,0.14452602952602953,-0.2010739704739705,-0.008548275862068855,0.03722068965517239,0.08604221704221698
full,acq_dim8_default,2,913,8,0.05,0.32239057239057234,0.5089655172413793,0.35310344827586204,0.4554519554519554,0.8620689655172413,0.13306138306138307,-0.21253861693861695,-0.0030310344827586544,-0.008296551724137957,0.06945195545195537
full,acq_dim8_default,2,914,8,0.05,0.3210152810152811,0.5048275862068966,0.36,0.5095363895363896,0.8648275862068966,0.1885211085211085,-0.1570788914788915,-0.00027241379310338765,-0.0014000000000000123,0.12353638953638957
full,acq_dim8_default,2,915,8,0.05,0.30553483553483546,0.503448275862069,0.36689655172413793,0.46753431753431746,0.8703448275862069,0.161999481999482,-0.18360051800051802,0.005244827586206924,0.0054965517241379325,0.08153431753431745
full,acq_dim8_default,3,911,8,0.05,0.2761850402261361,0.5307692307692309,0.35,0.39877226080691025,0.8807692307692309,0.12258722058077416,-0.22301277941922587,0.01566923076923088,-0.011400000000000021,0.01277226080691024
