phase,variant,branch,fold,seed,source,projected_path,metadata_method,variant_family,acquisition_dim,biological_dim,hidden_dim,cross_covariance_weight,scanner_adversary_weight,scanner_acquisition_weight,scanner_dependence_weight,gradient_reversal_strength,reconstruction_weight,variance_weight,covariance_weight,temperature,scanner_balanced_accuracy,scanner_macro_f1,category_balanced_accuracy,category_macro_f1,category_weighted_f1,same_category_purity_k1,same_category_purity_k5,same_category_purity_k10,n_fit_rows,n_test_rows,n_fit_samples,n_test_samples,n_fit_regions,n_test_regions,pair_non_anchor_region_mismatch_fraction,pair_non_anchor_same_sample_fraction
full,acq_dim16_stronger_xcov,acquisition,3,913,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\full\fold_3\runs\acq_dim16_stronger_xcov_seed_913\projected_features.npz,pathoalign,acquisition_bottleneck_stronger_separation,16,256,512,0.2,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.8871794871794872,0.887442233413678,0.13924123530690816,0.08872921090536741,0.10036190742690458,0.46025641025641023,0.41205128205128205,0.395,3245,780,35,9,649,156,0.0,1.0
full,acq_dim16_stronger_xcov,biological,3,913,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\full\fold_3\runs\acq_dim16_stronger_xcov_seed_913\projected_features.npz,pathoalign,acquisition_bottleneck_stronger_separation,16,256,512,0.2,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.3474358974358974,0.3459239003776607,0.38811915633833444,0.32729685636701683,0.38281125188071036,0.9935897435897436,0.9253846153846154,0.7917948717948718,3245,780,35,9,649,156,0.0,1.0
full,acq_dim16_stronger_xcov,acquisition,3,914,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\full\fold_3\runs\acq_dim16_stronger_xcov_seed_914\projected_features.npz,pathoalign,acquisition_bottleneck_stronger_separation,16,256,512,0.2,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.8923076923076924,0.8929132569877118,0.16842318662624867,0.10080338134707635,0.13162049472455628,0.41410256410256413,0.39974358974358976,0.3852564102564103,3245,780,35,9,649,156,0.0,1.0
full,acq_dim16_stronger_xcov,biological,3,914,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\full\fold_3\runs\acq_dim16_stronger_xcov_seed_914\projected_features.npz,pathoalign,acquisition_bottleneck_stronger_separation,16,256,512,0.2,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.3961538461538462,0.39324273333919557,0.4065130846859291,0.364320222091085,0.4243516121552504,0.9948717948717949,0.9192307692307692,0.7807692307692308,3245,780,35,9,649,156,0.0,1.0
full,acq_dim16_stronger_xcov,acquisition,3,915,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\full\fold_3\runs\acq_dim16_stronger_xcov_seed_915\projected_features.npz,pathoalign,acquisition_bottleneck_stronger_separation,16,256,512,0.2,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.8935897435897436,0.8939577245636107,0.18017428128024424,0.10961024301702607,0.1156664903850722,0.4282051282051282,0.40923076923076923,0.4024358974358974,3245,780,35,9,649,156,0.0,1.0
full,acq_dim16_stronger_xcov,biological,3,915,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\full\fold_3\runs\acq_dim16_stronger_xcov_seed_915\projected_features.npz,pathoalign,acquisition_bottleneck_stronger_separation,16,256,512,0.2,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.3846153846153846,0.3759802226303989,0.3902005444491343,0.2853750983439308,0.3736214358324503,0.9948717948717949,0.9228205128205128,0.7935897435897435,3245,780,35,9,649,156,0.0,1.0
full,acq_dim16_stronger_xcov,acquisition,4,911,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\full\fold_4\runs\acq_dim16_stronger_xcov_seed_911\projected_features.npz,pathoalign,acquisition_bottleneck_stronger_separation,16,256,512,0.2,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.888888888888889,0.8885972399013624,0.19521658967395258,0.14896151643111288,0.1864067099473719,0.34502923976608185,0.3031578947368421,0.2904093567251462,3170,855,35,9,634,171,0.0,1.0
full,acq_dim16_stronger_xcov,biological,4,911,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\full\fold_4\runs\acq_dim16_stronger_xcov_seed_911\projected_features.npz,pathoalign,acquisition_bottleneck_stronger_separation,16,256,512,0.2,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.38128654970760234,0.3784402837955113,0.3596760775341373,0.32640074456949036,0.4303499686753053,0.968421052631579,0.8914619883040936,0.7513450292397661,3170,855,35,9,634,171,0.0,1.0
full,acq_dim16_stronger_xcov,acquisition,4,912,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\full\fold_4\runs\acq_dim16_stronger_xcov_seed_912\projected_features.npz,pathoalign,acquisition_bottleneck_stronger_separation,16,256,512,0.2,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.8912280701754385,0.8910611833749398,0.16455583791068845,0.14433048905863458,0.1998738450588794,0.3567251461988304,0.29988304093567253,0.2745029239766082,3170,855,35,9,634,171,0.0,1.0
full,acq_dim16_stronger_xcov,biological,4,912,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\full\fold_4\runs\acq_dim16_stronger_xcov_seed_912\projected_features.npz,pathoalign,acquisition_bottleneck_stronger_separation,16,256,512,0.2,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.3239766081871345,0.3222261833314433,0.32714715942003675,0.3103006635683328,0.41465659261494725,0.9614035087719298,0.8858479532163742,0.747251461988304,3170,855,35,9,634,171,0.0,1.0
