config_id,low_quantile,high_quantile,min_trigger_count,threshold_shift,runs,triggered_runs,trigger_rate,mean_failure_count,mean_delta_global_qwk,ci95_low_global_qwk,ci95_high_global_qwk,positive_seed_count_global_qwk,negative_seed_count_global_qwk,mean_delta_macro_f1,ci95_low_macro_f1,ci95_high_macro_f1,positive_seed_count_macro_f1,negative_seed_count_macro_f1,mean_delta_worst_site_qwk,ci95_low_worst_site_qwk,ci95_high_worst_site_qwk,positive_seed_count_worst_site_qwk,negative_seed_count_worst_site_qwk,mean_delta_mean_site_qwk,ci95_low_mean_site_qwk,ci95_high_mean_site_qwk,positive_seed_count_mean_site_qwk,negative_seed_count_mean_site_qwk,mean_delta_global_accuracy,ci95_low_global_accuracy,ci95_high_global_accuracy,positive_seed_count_global_accuracy,negative_seed_count_global_accuracy
low_0.1__high_0.8__min_3,0.1,0.8,3,45,15,11,0.7333333333333333,3.2666666666666666,0.010526980243074443,0.0023949775848624514,0.018658982901286432,10,1,0.015118835790296947,0.008194348141413663,0.02204332343918023,11,0,0.012902275298181325,0.0054652600900103095,0.020339290506352338,10,1,0.010619007989083417,0.0032879743023405,0.017950041675826336,10,1,0.012799999999999997,0.0070778515157047615,0.01852214848429523,11,0
low_0.1__high_0.8__min_4,0.1,0.8,4,0,15,1,0.06666666666666667,0.8666666666666667,-0.00038010813252222034,-0.001195440076782383,0.0004352238117379423,0,1,-0.00010355011786682781,-0.00032566512069117347,0.00011856488495751781,0,1,0.0014588186385764868,-0.0016703473411700768,0.0045879846183230506,1,0,-0.00020442249373175218,-0.0006429087427863605,0.00023406375532285617,0,1,-0.0005019607843137263,-0.0015786666666666692,0.0005747450980392166,0,1
low_0.1__high_0.8__min_4,0.1,0.8,4,25,15,4,0.26666666666666666,2.066666666666667,0.00015196023255285387,-0.001687757218158422,0.0019916776832641296,2,2,0.0019407105631590613,-0.002475618678672016,0.006357039804990138,3,1,0.0018643960681535177,-0.005222206675808218,0.008950998812115253,2,2,-0.000172207174320634,-0.003284807247951047,0.002940392899309779,2,2,0.0013803921568627494,-0.0014257460369946431,0.004186530350720142,3,1
low_0.1__high_0.8__min_4,0.1,0.8,4,35,15,6,0.4,2.8666666666666667,0.004089298026305717,-0.00010748544619174679,0.00828608149880318,6,0,0.007289142476418756,0.001404424422354049,0.013173860530483463,6,0,0.00759854825007192,-0.0002125965717672514,0.01540969307191109,5,1,0.00434059742783787,0.0002492758659235362,0.008431918989752204,6,0,0.005709803921568627,0.0013100270809598118,0.010109580762177443,6,0
low_0.1__high_0.8__min_4,0.1,0.8,4,45,15,9,0.6,3.2666666666666666,0.009936486310902388,0.001708139808466659,0.018164832813338118,9,0,0.012774919395117993,0.005856033068720876,0.01969380572151511,9,0,0.009515942003066217,0.002381279474504473,0.01665060453162796,8,1,0.009918548341653932,0.0025780407705267823,0.017259055912781082,9,0,0.011419607843137248,0.005326025561082137,0.017513190125192358,9,0
low_0.1__high_0.85__min_2,0.1,0.85,2,0,15,4,0.26666666666666666,0.8666666666666667,-0.0011400889828168412,-0.0032690889480376517,0.0009889109824039691,2,2,-0.0027044683301868043,-0.006838106509706928,0.0014291698493333186,1,3,0.0012787099933371016,-0.0020493992224524093,0.004606819209126613,3,1,-0.0006737250691974654,-0.002294893779225038,0.0009474436408301073,2,2,-0.0019450980392156905,-0.0042613399508428995,0.00037114387241151867,1,3
low_0.1__high_0.85__min_2,0.1,0.85,2,25,15,8,0.5333333333333333,1.9333333333333333,0.0023411806757944226,-0.0008488716356685861,0.005531232987257431,6,2,0.004778869105757303,-0.00067114717127817,0.010228885382792777,6,2,0.003991073162616828,-0.004141477992272167,0.012123624317505823,5,3,0.002303825351565051,-0.0020708971712255966,0.006678547874355699,6,2,0.0034823529411764846,0.00013625244834064836,0.006828453434012321,7,1
low_0.1__high_0.85__min_2,0.1,0.85,2,35,15,11,0.7333333333333333,2.533333333333333,0.00521929533320434,0.00029284931173982186,0.010145741354668857,9,2,0.010564263593310566,0.005052073135781097,0.016076454050840037,11,0,0.00799100739178759,-0.001387537578545173,0.01736955236212035,7,4,0.005734046671202705,0.0014118907939008538,0.010056202548504556,10,1,0.00906666666666666,0.0049735623663045144,0.013159770967028805,11,0
low_0.1__high_0.85__min_2,0.1,0.85,2,45,15,13,0.8666666666666667,3.2666666666666666,0.010333435909080979,0.0020628307014620914,0.018604041116699867,11,2,0.01673503452255428,0.010318161382355837,0.023151907662752724,13,0,0.01316765678490918,0.0057842310414473255,0.020551082528371036,11,2,0.010502083699282464,0.0031014463060724294,0.0179027210924925,11,2,0.014807843137254901,0.009857982894267106,0.019757703380242696,13,0
low_0.1__high_0.85__min_3,0.1,0.85,3,0,15,2,0.13333333333333333,0.8666666666666667,-0.00025459820129093794,-0.0011312979617796744,0.0006221015591977986,1,1,8.68352338801485e-05,-0.0003917716882295514,0.0005654421559898484,1,1,0.0015082423774022062,-0.0016151416758501008,0.004631626430654514,2,0,-4.019749903272363e-06,-0.0006396141238675113,0.0006315746240609666,1,1,-0.00047058823529411896,-0.0015541817515868565,0.0006130052809986187,1,1
low_0.1__high_0.85__min_3,0.1,0.85,3,25,15,5,0.3333333333333333,1.9333333333333333,0.001287213823124526,-0.0017460968102482948,0.004320524456497347,3,2,0.0029029172462730142,-0.0018443331149444572,0.007650167607490486,4,1,0.003528374114504144,-0.004276768047926872,0.01133351627693516,3,2,0.0009682408065864105,-0.0030068766671784044,0.004943358280351225,3,2,0.0022274509803921574,-0.00099855831168152,0.005453460272465835,4,1
low_0.1__high_0.85__min_3,0.1,0.85,3,35,15,8,0.5333333333333333,2.533333333333333,0.005316089894404937,0.00048662982667682913,0.010145549962133044,7,1,0.007633897868525104,0.0018691115886841367,0.01339868414836607,8,0,0.010305188395692173,0.002292935152861204,0.01831744163852314,7,1,0.005700321226912649,0.001418713684405804,0.009981928769419494,8,0,0.0066196078431372506,0.0022346330822088324,0.011004582604065668,8,0
low_0.1__high_0.85__min_3,0.1,0.85,3,45,15,11,0.7333333333333333,3.2666666666666666,0.010526980243074443,0.0023949775848624514,0.018658982901286432,10,1,0.015118835790296947,0.008194348141413663,0.02204332343918023,11,0,0.012902275298181325,0.0054652600900103095,0.020339290506352338,10,1,0.010619007989083417,0.0032879743023405,0.017950041675826336,10,1,0.012799999999999997,0.0070778515157047615,0.01852214848429523,11,0
low_0.1__high_0.85__min_4,0.1,0.85,4,0,15,1,0.06666666666666667,0.8666666666666667,-0.00038010813252222034,-0.001195440076782383,0.0004352238117379423,0,1,-0.00010355011786682781,-0.00032566512069117347,0.00011856488495751781,0,1,0.0014588186385764868,-0.0016703473411700768,0.0045879846183230506,1,0,-0.00020442249373175218,-0.0006429087427863605,0.00023406375532285617,0,1,-0.0005019607843137263,-0.0015786666666666692,0.0005747450980392166,0,1
low_0.1__high_0.85__min_4,0.1,0.85,4,25,15,4,0.26666666666666666,1.9333333333333333,0.00015196023255285387,-0.001687757218158422,0.0019916776832641296,2,2,0.0019407105631590613,-0.002475618678672016,0.006357039804990138,3,1,0.0018643960681535177,-0.005222206675808218,0.008950998812115253,2,2,-0.000172207174320634,-0.003284807247951047,0.002940392899309779,2,2,0.0013803921568627494,-0.0014257460369946431,0.004186530350720142,3,1
low_0.1__high_0.85__min_4,0.1,0.85,4,35,15,5,0.3333333333333333,2.533333333333333,0.0023496403988693495,-0.00017526068205469657,0.004874541479793396,5,0,0.005877655871112205,0.0003174099395418656,0.011437901802682544,5,0,0.005072589303439042,-0.0012582270445683106,0.011403405651446395,4,1,0.0025910955843601257,0.00021709695208577996,0.004965094216634471,5,0,0.004894117647058819,0.0005443230886974073,0.00924391220542023,5,0
low_0.1__high_0.85__min_4,0.1,0.85,4,45,15,9,0.6,3.2666666666666666,0.009936486310902388,0.001708139808466659,0.018164832813338118,9,0,0.012774919395117993,0.005856033068720876,0.01969380572151511,9,0,0.009515942003066217,0.002381279474504473,0.01665060453162796,8,1,0.009918548341653932,0.0025780407705267823,0.017259055912781082,9,0,0.011419607843137248,0.005326025561082137,0.017513190125192358,9,0
low_0.1__high_0.9__min_2,0.1,0.9,2,0,15,3,0.2,0.6666666666666666,-0.0007599808502946208,-0.002774366377053722,0.0012544046764644805,2,1,-0.0026009182123199765,-0.006749972829488447,0.0015481364048484936,1,2,-0.0001801086452393852,-0.0012345901255130835,0.0008743728350343132,2,1,-0.00046930257546571317,-0.002050117397799926,0.0011115122468684994,2,1,-0.0014431372549019643,-0.0036068886922783574,0.0007206141824744289,1,2
